2019*,2020,Proportion of total sales (%),RIG (%),OG (%)
Western Europe,13 481,12 909,63.8%,","
Eastern and Central Europe,3 794,3 547,17.5%,","
Middle East and North Africa,4 189,3 770,18.7%,","
Powdered and Liquid Beverages,5 291,5 239,25.9%,","
Water,2 378,1 967,9.7%,","
Milk products and Ice cream,987,849,4.2%,","
Prepared dishes and cooking aids,3 853,3 473,17.2%,","
Confectionery,3 319,3 038,15.0%,","
PetCare,3 624,3 786,18.7%,","
Nutrition and Health Science,2 012,1 874,9.3%,","
Total sales,21 464,20 226,,"+3.3%,+2.9%"
Underlying trading operating profit,3 878,3 766,18.6%,","
Trading operating profit,3 662,3 575,17.7%,","
Capital additions,1 340,1 432,7.1%,","
