"Principal key figures (b) (illustrative) in CHF, USD, EURIn millions (except for data per share) Total CHFTotal CHFTotal USD Total USD Total EUR Total EUR2019 2020 2019 2020 2019 2020","Principal key figures (b) (illustrative) in CHF, USD, EURIn millions (except for data per share) Total CHFTotal CHFTotal USD Total USD Total EUR Total EUR2019 2020 2019 2020 2019 2020","Principal key figures (b) (illustrative) in CHF, USD, EURIn millions (except for data per share) Total CHFTotal CHFTotal USD Total USD Total EUR Total EUR2019 2020 2019 2020 2019 2020","Principal key figures (b) (illustrative) in CHF, USD, EURIn millions (except for data per share) Total CHFTotal CHFTotal USD Total USD Total EUR Total EUR2019 2020 2019 2020 2019 2020","Principal key figures (b) (illustrative) in CHF, USD, EURIn millions (except for data per share) Total CHFTotal CHFTotal USD Total USD Total EUR Total EUR2019 2020 2019 2020 2019 2020","Principal key figures (b) (illustrative) in CHF, USD, EURIn millions (except for data per share) Total CHFTotal CHFTotal USD Total USD Total EUR Total EUR2019 2020 2019 2020 2019 2020","Principal key figures (b) (illustrative) in CHF, USD, EURIn millions (except for data per share) Total CHFTotal CHFTotal USD Total USD Total EUR Total EUR2019 2020 2019 2020 2019 2020",,,,,
"Principal key figures (b) (illustrative) in CHF, USD, EURIn millions (except for data per share) Total CHFTotal CHFTotal USD Total USD Total EUR Total EUR2019 2020 2019 2020 2019 2020","Principal key figures (b) (illustrative) in CHF, USD, EURIn millions (except for data per share) Total CHFTotal CHFTotal USD Total USD Total EUR Total EUR2019 2020 2019 2020 2019 2020","Principal key figures (b) (illustrative) in CHF, USD, EURIn millions (except for data per share) Total CHFTotal CHFTotal USD Total USD Total EUR Total EUR2019 2020 2019 2020 2019 2020","Principal key figures (b) (illustrative) in CHF, USD, EURIn millions (except for data per share) Total CHFTotal CHFTotal USD Total USD Total EUR Total EUR2019 2020 2019 2020 2019 2020","Principal key figures (b) (illustrative) in CHF, USD, EURIn millions (except for data per share) Total CHFTotal CHFTotal USD Total USD Total EUR Total EUR2019 2020 2019 2020 2019 2020","Principal key figures (b) (illustrative) in CHF, USD, EURIn millions (except for data per share) Total CHFTotal CHFTotal USD Total USD Total EUR Total EUR2019 2020 2019 2020 2019 2020","Principal key figures (b) (illustrative) in CHF, USD, EURIn millions (except for data per share) Total CHFTotal CHFTotal USD Total USD Total EUR Total EUR2019 2020 2019 2020 2019 2020",2020,2019,2020,2019,2020
Sales,92568,84343,93218,89982,83217,78801,,,,,
Underlying trading operating profit(a),16260,14903,16374,15900,14618,13924,,,,,
Trading operating profit (a),13674,14 233,13770,15185,12 293,13298,,,,,
Profit for the year attributable to shareholders of the parent (Net profit),12609,12 232,12 698,13050,11336,11 428,,,,,
Equityattributable to shareholders of the parent,52035,45 695,53700,51876,47921,42 182,,,,,
"Market capitalization,end December",301772,293 644,311426,333364,277911,271072,,,,,
Data per share,,,,,,,,,,,
Basic earnings per share,4.30,4.30,4.33,4.59,3.87,4.02,,,,,
