2019*,2019*,2020 Proportion of total sales (%),2020 Proportion of total sales (%),2020 Proportion of total sales (%),RIG (%),OG (%)
United States and Canada,27159,24763,,72.8%,,
Latin America and Caribbean,10 669,9 247,,27.2%,,
Powdered and Liquid Beverages,5654,5032,14.8%,14.8%,,
Water,4499,4049,11.9%,11.9%,,
Milk products and Ice cream,7291,5288,15.5%,15.5%,,
Prepared dishes and cooking aids,5598,5381,15.8%,15.8%,,
Confectionery,2.514,2 177,6.4%,6.4%,,
PetCare,9370,9543,28.1%,28.1%,,
Nutrition and Health Science,2902,2 540,,7.5%,,
Total sales,37828,34010,,,+4.1%,+4.8%
Underlying trading operating profit,7608,6975,20.5%,20.5%,,
Trading operating profit,6646,6724,19.8%,19.8%,,
Capital additions,2367,3562,10.5%,10.5%,,
