"Europe, Middle East and North Africa (EMENA)",,,,,,,,
Country,2,.,.,.,.,.,.,.
Algeria,2,,,.,,,,
Bahrain,1,,,,,,,
Belgium,1,,,,,,,
Bulgaria,1,,,,,,,
Czech Republic,3,,,,,,,
Denmark,1,,,,,,,
Egypt,2,,,.,,":,",,
Finland,2,,,.,.,.,,
France,15,,,.,.,.,,
Germany,12,,,.,.,.,,
Greece,2,,,.,.,.,,
Hungary,2,,,.,.,.,,
Iran,2,,,.,.,.,,
Ireland,1,,,.,.,.,,
Israel,8,,,.,.,.,,
Italy,7,,,.,.,O,,
Jordan,1,,,.,.,.,,
Lebanon,2,,,.,.,,,
Morocco,1,.,.,.,.,,,
Netherlands,1,,,,,,,
Poland,5,,,":, ?",.,,,
Portugal,2,,,,,,,
Qatar,1,,,,,,,
Republic of Serbia,1,,,,,,,
Romania*,1,,,":,",,,,
Russia,6,.,,":, .",,,,
Saudi Arabia,7,,,,,,,
Slovak Republic,1,,,":,",,,,
Spain,10,,,,,,,
Sweden,1,,,,,,,
Switzerland,10,,,,,,,
Syria*,1,,,,,,,
Tunisia,1,,,,,,,
Turkey,3,,,":, .",,,,
Ukraine,3,.,,,,.,,
United Arab Emirates,4,.,,,,.,,
United Kingdom,9,":,",,,,,,
