SalesbygeographicareasDifferences 2020/2019 (in %)in local in CHFin CHF currency millionsBy principal markets 2020,SalesbygeographicareasDifferences 2020/2019 (in %)in local in CHFin CHF currency millionsBy principal markets 2020,SalesbygeographicareasDifferences 2020/2019 (in %)in local in CHFin CHF currency millionsBy principal markets 2020,SalesbygeographicareasDifferences 2020/2019 (in %)in local in CHFin CHF currency millionsBy principal markets 2020,SalesbygeographicareasDifferences 2020/2019 (in %)in local in CHFin CHF currency millionsBy principal markets 2020,,,
SalesbygeographicareasDifferences 2020/2019 (in %)in local in CHFin CHF currency millionsBy principal markets 2020,SalesbygeographicareasDifferences 2020/2019 (in %)in local in CHFin CHF currency millionsBy principal markets 2020,SalesbygeographicareasDifferences 2020/2019 (in %)in local in CHFin CHF currency millionsBy principal markets 2020,SalesbygeographicareasDifferences 2020/2019 (in %)in local in CHFin CHF currency millionsBy principal markets 2020,SalesbygeographicareasDifferences 2020/2019 (in %)in local in CHFin CHF currency millionsBy principal markets 2020,,,
SalesbygeographicareasDifferences 2020/2019 (in %)in local in CHFin CHF currency millionsBy principal markets 2020,SalesbygeographicareasDifferences 2020/2019 (in %)in local in CHFin CHF currency millionsBy principal markets 2020,SalesbygeographicareasDifferences 2020/2019 (in %)in local in CHFin CHF currency millionsBy principal markets 2020,SalesbygeographicareasDifferences 2020/2019 (in %)in local in CHFin CHF currency millionsBy principal markets 2020,SalesbygeographicareasDifferences 2020/2019 (in %)in local in CHFin CHF currency millionsBy principal markets 2020,,,2020
United States,-9.8%,-4.4%,-4.4%,26 014,,,
Greater China Region,-13.4%,-8.5%,-8.5%,5 986,,,
France,-10.8%,-7.3%,-7.3%,3946,,,
United Kingdom,-1.2%,+4.3%,+4.3%,2883,,,
Brazil,-23.5%,+5.7%,+5.7%,2790,,,
Philippines,+4.8%,+6.2%,+6.2%,2769,,,
Mexico,-12.6%,+2.6%,+2.6%,2 564,,,
Germany,-7.1%,-3.4%,-3.4%,2445,,,
Canada,-2.8%,+4.3%,+4.3%,2 122,,,
Japan,-11.5%,-8.0%,-8.0%,1607,,,
India,-3.7%,+7.2%,+7.2%,1605,,,
Russia,-8.7%,+8.6%,+8.6%,1555,,,
Italy,-9.9%,-6.4%,-6.4%,1508,,,
Spain,-6.8%,-3.2%,-3.2%,1409,,,
Australia,-5.0%,+1.8%,+1.8%,1394,,,
Switzerland,-2.6%,-2.6%,-2.6%,1134,,,
Rest of the world,-7.5%,(a),(a),22 612,,,
Total,-8.9%,(a),(a),84343,,,
