In millions of CHF2019* 2020 Proportion of total sales (%) RIG (%),In millions of CHF2019* 2020 Proportion of total sales (%) RIG (%),In millions of CHF2019* 2020 Proportion of total sales (%) RIG (%),In millions of CHF2019* 2020 Proportion of total sales (%) RIG (%),In millions of CHF2019* 2020 Proportion of total sales (%) RIG (%),In millions of CHF2019* 2020 Proportion of total sales (%) RIG (%),OG (%),,
In millions of CHF2019* 2020 Proportion of total sales (%) RIG (%),In millions of CHF2019* 2020 Proportion of total sales (%) RIG (%),In millions of CHF2019* 2020 Proportion of total sales (%) RIG (%),In millions of CHF2019* 2020 Proportion of total sales (%) RIG (%),In millions of CHF2019* 2020 Proportion of total sales (%) RIG (%),In millions of CHF2019* 2020 Proportion of total sales (%) RIG (%),OG (%),2019*,2020
Powdered and Liquid Beverages,,,,,,,,
Soluble coffee/coffee systems,9144,8616,38.7%,,,,,
Other,14077,13640,61.3%,,,,,
Total sales,23 221,22 256,,+2.8%,+2.8%,+3.2%,,
Underlying trading operating profit,5197,5008,22.5%,,,,,
Trading operating profit,4701,4824,21.7%,,,,,
Water,,,,,,,,
Total sales,7391,6421,,-5.5%,-5.5%,-7.0%,,
Underlying trading operating profit,914,639,10.0%,,,,,
Trading operating profit,748,522,8.1%,,,,,
Milk products and Ice cream,,,,,,,,
Milk products and Ice cream,,,,,,,,
Milk products,10433,10087,91.6%,,,,,
Ice cream,2835,920,8.4%,,,,,
Total sales,13268,11007,,+5.6%,+5.6%,+7.9%,,
Underlying trading operating profit,2706,2652,24.1%,,,,,
Trading operating profit,1678,2615,23.8%,,,,,
Nutrition and Health Science,,,,,,,,
Total sales,14990,12 160,,+1.2%,+1.2%,+1.7%,,
Underlying trading operating profit,3314,2 640,21.7%,,,,,
Trading operating profit,3092,2490,20.5%,,,,,
Prepared dishes and cooking aids,,,,,,,,
Frozen and chilled,6092,5694,49.4%,,,,,
Culinary and other,6096,5829,50.6%,,,,,
Total sales,12188,11 523,,+4.7%,+4.7%,+4.7%,,
Underlying trading operating profit,2170,2 171,18.8%,,,,,
Trading operating profit,1857,2 147,18.6%,,,,,
Confectionery,,,,,,,,
Confectionery,,,,,,,,
Chocolate,5930,5265,75.5%,,,,,
Sugar confectionery,722,585,8.4%,,,,,
Snacking and biscuits,1236,1125,16.1%,,,,,
Total sales,7888,6975,,-1.1%,-1.1%,-1.5%,,
Underlying trading operating profit,1332,990,14.2%,,,,,
Trading operating profit,1241,874,12.5%,,,,,
PetCare,,,,,,,,
PetCare,,,,,,,,
Total sales,13622,14 001,,+9.7%,+9.7%,+10.2%,,
Underlying trading operating profit,2919,3081,22.0%,,,,,
Trading operating profit,2741,3089,22.1%,,,,,
