Europe, Middle East and North Africa (EMENA)\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t
Country    2    .    .    .    .,
Finland    2    .    .    .    .,
France     15   .    .    .    .,
Germany    12   .    .    .    .,
Greece     2    .    .    .    .,
Hungary    2    .    .    .    .,
Iran       2    .    .    .    .,
Ireland    1    .    .    .    .,
Israel     8    .    .    .    .,
Italy      7    .    .    .    .,
Jordan     1    .    .    .    .,
Lebanon    2    .    .    .    .,
Morocco    1    .    .    .    .,
Country    2    1    1    5    2    1    1    1    6    7    1    1    10,
Lebanon,
Morocco,
Netherlands,
Poland,
Portugal,
Qatar,
Republic of Serbia,
Romania*,
Russia,
Saudi Arabia,
Slovak Republic,
Spain,
Country    7    1    10    1    10    1    1    3    3    4    9,
Sweden,
Switzerland,
Syria*,
Tunisia,
Turkey,
Ukraine,
United Arab Emirates,
United Kingdom,
