2019*,2020,Proportion of total sales (%),RIG (%),OG (%)
United States and Canada,27 159,24 763,72.8%,","
Latin America and Caribbean,10 669,9 247,27.2%,","
Powdered and Liquid Beverages,5 654,5 032,14.8%,","
Water,4 499,4 049,11.9%,","
Milk products and Ice cream,7 291,5 288,15.5%,","
Prepared dishes and cooking aids,5 598,5 381,15.8%,","
Confectionery,2 514,2 177,6.4%,","
PetCare,9 370,9 543,28.1%,","
Nutrition and Health Science,2 902,2 540,7.5%,","
Total sales,37 828,34 010,+4.1%,"+4.8%,"
Underlying trading operating profit,7 608,6 975,20.5%,","
Trading operating profit,6 646,6 724,19.8%,","
Capital additions,2 367,3 562,10.5%,","
