Confectionery,Chocolate,Sugar confectionery,Snacking and biscuits,Total sales,Underlying trading operating profit,Trading operating profit
In millions of CHF,,,,,,
2019* 2020 Proportion of total sales (%) RIG (%) OG (%),,,,,,
Powdered and Liquid Beverages,,,,,,
Soluble coffee/coffee systems 9 144 8 616 38.7% 2.8% 3.2%,,,,,,
Other 14 077 13 640 61.3%,,,,,,
Total sales 23 221 22 256 22.5% 21.7%,,,,,,
Underlying trading operating profit 5 197 5 008,,,,,,
Trading operating profit 4 701 4 824,,,,,,
Water,,,,,,
Total sales 7 391 6 421 -5.5% -7.0%,,,,,,
Underlying trading operating profit 914 639 10.0%,,,,,,
Water,Total sales,7 391,6 421,−5.5%,−7.0%,
Water,Underlying trading operating profit,914,639,10.0%,,
Water,Trading operating profit,748,522,8.1%,,
Milk products and Ice cream,Milk products,10 433,10 087,91.6%,,
Milk products and Ice cream,Ice cream,2 835,920,8.4%,,
Milk products and Ice cream,Total sales,13 268,11 007,+5.6%,+7.9%,
Milk products and Ice cream,Underlying trading operating profit,2 706,2 652,24.1%,,
Milk products and Ice cream,Trading operating profit,1 678,2 615,23.8%,,
Nutrition and Health Science,Total sales,14 990,12 160,+1.2%,+1.7%,
Nutrition and Health Science,Underlying trading operating profit,3 214,3 640,21.7%,,
Underlying trading operating profit,3 314,2 640,21.7%,,,
Trading operating profit,3 092,2 490,20.5%,,,
Prepared dishes and cooking aids,Frozen and chilled,6 092,5 694,49.4%,,
Culinary and other,6 096,5 829,50.6%,,,
Total sales,12 188,11 523,+4.7%,+4.7%,,
Underlying trading operating profit,2 170,2 171,18.8%,,,
Trading operating profit,1 857,2 147,18.6%,,,
Confectionery,Chocolate,5 930,5 265,75.5%,,
Chocolate,5 930,5 265,722,7 888,1 332,1 241
Sugar confectionery,722,585,1 236,6 975,990,874
Snacking and biscuits,1 236,1 125,1 241,,,
Total sales,7 888,6 975,1 125,1 241,14.2%,12.5%
Underlying trading operating profit,1 332,990,14.2%,,,
Trading operating profit,1 241,874,12.5%,,,
PetCare,Total sales,Underlying trading operating profit,Trading operating profit,,,
Total sales,13 622,14 001,2 741,3 089,22.1%,
Underlying trading operating profit,2 919,3 081,22.0%,,,
Trading operating profit,2 741,3 089,22.1%,,,
