Asia, Oceania and sub-Saharan Africa (AOSA),Angola,1,,,
Asia, Oceania and sub-Saharan Africa (AOSA),Australia,7,,,
Asia, Oceania and sub-Saharan Africa (AOSA),Bangladesh,1,,,
Asia, Oceania and sub-Saharan Africa (AOSA),Cameroon,1,,,
Asia, Oceania and sub-Saharan Africa (AOSA),Côte d'Ivoire,2,,,
Asia, Oceania and sub-Saharan Africa (AOSA),Ghana,1,,,
Asia, Oceania and sub-Saharan Africa (AOSA),Greater China Region,23,,,
Asia, Oceania and sub-Saharan Africa (AOSA),India,7,,,
Asia, Oceania and sub-Saharan Africa (AOSA),Indonesia,3,,,
Asia, Oceania and sub-Saharan Africa (AOSA),Japan,3,,,
Asia, Oceania and sub-Saharan Africa (AOSA),Kenya,1,,,
Asia, Oceania and sub-Saharan Africa (AOSA),Malaysia,6,,,
Asia, Oceania and sub-Saharan Africa (AOSA),Myanmar,1,,,
Asia, Oceania and sub-Saharan Africa (AOSA),New Zealand,2,,,
Asia, Oceania and sub-Saharan Africa (AOSA),Nigeria,3,,,
Asia, Oceania and sub-Saharan Africa (AOSA),Pakistan,4,,,
Asia, Oceania and sub-Saharan Africa (AOSA),Papua New Guinea,1,,,
Asia, Oceania and sub-Saharan Africa (AOSA),Philippines,5,,,
Asia, Oceania and sub-Saharan Africa (AOSA),Republic of Korea,1,,,
Asia, Oceania and sub-Saharan Africa (AOSA),Senegal,1,,,
Asia, Oceania and sub-Saharan Africa (AOSA),Singapore,2,,,
Asia, Oceania and sub-Saharan Africa (AOSA),South Africa,5,,,
Asia, Oceania and sub-Saharan Africa (AOSA),Sri Lanka,1,,,
Asia, Oceania and sub-Saharan Africa (AOSA),Thailand,8,,,
Asia, Oceania and sub-Saharan Africa (AOSA),Vietnam,6,,,
Asia, Oceania and sub-Saharan Africa (AOSA),Zimbabwe,1,,,
