,2019*,2020,Proportion of total sales (%),Proportion of total sales (%),RIG (%),OG (%)
ASEAN markets,7248,7105,,34.3%,,
Oceania and Japan,3040,2888,,13.9%,,
Other Asian markets,9394,8394,,40.5%,,
Sub-Saharan Africa,2437,2343,,11.3%,,
Powdered and Liquid Beverages,6289,5969,,28.8%,,
Water,515,405,,2.0%,,
Milk products and Ice cream,4982,4862,23.4%,23.4%,,
Prepared dishes and cooking aids,2737,2 667,,12.9%,,
Confectionery,2001,1739,,8.4%,,
PetCare,628,673,,3.2%,,
Nutrition and Health Science,4967,4415,,21.3%,,
Total sales,22 119,20 730,,,0.0%,+0.5%
Underlying trading operating profit,4977,4599,22.2%,22.2%,,
Trading operating profit,3724,4466,21.5%,21.5%,,
Capital additions,888,941,4.5%,4.5%,,
