Principal risk,Description,Potential impact,Key mitigations
Product quality and safety,Major event triggered by a seriousfood safety or other complianceissue,-Negative effect on Nestlé'sreputation and/or brands-Failure to meet evolvingregulatory requirements-Loss of consumer trust,"- Policies, processes and controlsto ensure high-quality productsand prevention of health risks"
Consumer preferences,"Failure to adequately anticipateevolving consumer preferences,failure to innovate relevant, competitive products and brands, and failure to execute at speed","- Negative effect on Nestle's reputation and/or brandsFailure to achieve growth targets,loss of market share","- Strengthen consumer-centricityof innovation process- Apply scientific and nutritional know-how to enhance nutrition,health and wellness- Improve the accessibility of safeand affordable food"
Discriminatoryregulation,Prolonged negative perceptionsconcerning health implicationsof processed food and beveragecategories,- Increase in regulation on industryand/or specific categoriesErosion of consumer confidencein industry-Limitations on marketing anddistribution,"-Focus scientific and nutritionalknow-how to enhance nutrition,health and welliness-Policies including ResponsibleMarketing to Children andMarketing of Breast MilkSubstitutes in place"
Customer and channel management,"Customer concentration, channeldynamics accelerating pressure ondistribution,pricing and trade","- Reduced distribution of our products to consumersRestricted ability to price impacting margin- Failure to achieve growth targets,loss of market share","-Strategic customer relationshipmanagementAccelerate digital capabilities, expansion of e-commerce andonline communication"
Human rights,"Failure to identify and/or preventhuman rights violations in directoperations and supply chain,e.g.forced labour,child labour,workinghours,fair wages, etc.",-Negative effect on Nestlé'sreputation and/or brands-Corporate fines and/or penalties-License to operate challenges,"-Human rights due diligenceResponsible Sourcingprograms (e.g.Nescafé Plan,Nestlé Cocoa Plan,animalwelfare commitment, etc.)-Policies,processesand controls torespect and promote human rights-Grievance mechanisms andconsequence management"
Climate change,"Climate-related physical (includingextreme weather events,watershortages) and transitionaldisruption (including policy actions,technological advances,marketsentiment) affecting our operationsand/or consumer demand","- Supply constraints impact ensuring supply as well asreputational damagePolicy,e.g.carbontax,landuse restrictions,agricultural subsidy shifts, etc.impacts operating costs- Increased consumer and/orstakeholder concern on climate impacting reputation",- Promote regenerative agricultural practices and support local ruraldevelopment- Climate adaptation and mitigationactions as outlined in Nestle's Net Zero Roadmap- Nestlé's CDP questionnaireresponses-Adoption of TCFD framework
Product and plastic packaging,Failure to comply with currentor future regulation on plasticpackaging and/or failure to meetcommitments on packagingand the environment,"Specific packaging (e.g.SingleUse Plastic)and/or elements(e.g. straws) taxed,bannedand/or delisted-Stigmatization of products,brandsand/or categoriesFailure to achieve growth targets,loss of market share",-Waste-free future: recycableor reusable packaging; pioneernew packaging materials;collaborations to drive recyclingpenetration; educate via brandcommunications
Environmental health,"Failure to comply with legislation or meet expectations concerning the environment includingbiodiversity impacts, use of naturalresources,air emissions and wastedischarges,etc.","- Negative effect on Nestlé's reputation and/or brands-Corporate fines and/or taxation onproducts/categories- License to operate challenges, e.g. access to water","- Caring for Water plan to implement water stewardshipinitiatives- Member of One Planet Businessfor Biodiversity (OP2B) to scale up efforts to protect and restorebiodiversity-Commitments to improveoperational efficiencies, e.g. switch to renewable energy sources, reduction in airemissions, etc."
Health and safety,Failure to comply with health andsafety regimes in all countries whereNestle operates,- Negative effect on Nestlé'sreputation and/or brands- Corporate fines and/or penalties,-Procedures in place to comply withhealth and safety legislation- Long-term initiatives to promotesafe and healthy behaviors
"Systems, security and privacy","Threat of cyber-attacks or failureof internal systems and digital networks may disrupt the reliability,security and privacy of data and/orability to operate",- Inability to run operationalactivities-Loss of confidential information impacting corporate reputation- Loss of consumer trust,- Contingencies and policies in place to protect hardware and software- Privacy policy and program to monitor and comply with privacy laws and regulations
Supply chaindisruption,"Major event impacting raw materialsourcing and/or internal or externalmanufacturing facilities,e.g.commodity shortages,strikes,sanctions,natural disasters,pandemics,etc.","- Impacts ability to ensure supplyof key products including sourcing,transporting to operationalfacilities and distributionto customers-Increase in input prices and/orproduction and distribution costs","- Policies and procedures in place toensure the health and safety of ourpeople, products and sites- Business continuity and disasterrecoveryplans for keysites- Active price risk management onkey commodities"
Strategic investment choices,"Investment choices evolve over time and may include emergingtechnologies; new business models;creation of,or entry into,newcategories; geographic expansion",- Broader exposures for the Group- Acceptance of higher risk andreturn metrics,- Group's investment choices are aligned with our strategy and prioritized based on the potentialto create value over the long-term
Businesstransformations,"Failure of strategic transformationssuch as large-scale changemanagement projects, restructuring,mergers and acquisitions,etc.",-Failure to realizeanticipatedbenefits- Impairments- Low employee moraleand/or engagement,-Transformations receive executivesponsorship with aligned targetsand appropriate levels of resourceto support successful execution
People engagement,"Failure to attract and retain skilled, talented employees in a competitive,dynamic market place",- Adversely impact our corporate reputation- Failure to equip the workforce with the skills for the digital age,- Initiatives in place to improve gender balance and culturaldiversity- Development of strategies to copewith the demands of a changingworkforce and workplaceenvironment
Ethics andcompliance,"Failure to act with integrity, orbehave in a manner inconsistentwith our purpose and values",-Adversely impact our corporatereputation and brands- Regulatory penalties/fines,-Corporate Business Principlesand Code of Business Conductoutlining the Group's commitmentto integrity-Compliance programand systemsincluding grievance mechanismsin place- Developed a framework for ethicaluse of technology
Macro financialfactors,"Volatility and/or sudden shocks impacting macro factors (currencies, interest rates,cost of capital, creditratings, pension liabilities)","Government intervention (e.g.capital controls, price controls) impacting operationsand financial performance- Access to capital markets",- Appropriate governance and riskmitigation measures to activelymanage exposures and long-termasset and liability outlook
Geo-political factors,"Adverse instability and/oruncertainty, e.g.political instability,conflicts,trade wars, pandemics,laborand/or infrastructure-relatedrisks,etc.",:Reduction in consumer demandacross categories and/or channels-Disruption of Nestlé's ability to dobusiness in a country or region,- Monitoring and ad-hoc continuityplans to mitigate against events- Group-wide geographicaland product category spreadsrepresents a natural hedge
