Full-Year,Full-Year,Full-Year,Full-Year
Cigaretes,2020,2019,Change
Marlboro,"233,158","262,908",(11.3)%
L&M,"91,098","92,873",(1.9)%
Chesterfied,"52,139","57,185",(8.8)%
Philip Morris,"45,645","49,164",(7.2)%
Parliament,"34,737","38,723",(10.3)%
Sampoerna A,"32,862","35,133",(6.5)%
Dji Sam Soe,"24,754","32,435",(23.7)%
Bond Street,"24,113","28,025",(14.0)%
Lark,"15,489","19,602",
Next,"8,980",8.602,(21.0)%
Others,"65,543","82,059",4.4 %
Total Cigarettes,"628,518","706,709",(20.1)%
Heated Tobacco Units (1),"76,111","59,652",(11.1)%
Total Cigarettes and Heated Tobacco Units,"704,629",766.361,27.6 % (8.1)%
