Type,Face Value,Interest Rate,Issuance,Maturity
U.S. dollar notes,$750,1.875%,February 2016,February 2021
U.S. dollar notes,$350,4.125%,May 2011,May 2021
U.S. dollar notes,$750,2.900%,November 2011,November 2021
U.S. dollar notes,$500,2.625%,February 2017,February 2022
U.S. dollar notes,$750,2.375%,August 2017,August 2022
U.S. dollar notes,$750,2.500%,August 2012,August 2022
U.S. dollar notes,$750,2.500%,November 2017,November 2022
U.S. dollar notes,$600,2.625%,March 2013,March 2023
U.S. dollar notes,$500,2.125%,May 2016,May 2023
U.S. dollar notes,$750,1.125%,May 2020,May 2023
U.S. dollar notes,$500,3.600%,November 2013,November 2023
U.S. dollar notes,$900,2.875%,May 2019,May 2024
U.S. dollar notes,$750,3.250%,November 2014,November 2024
U.S. dollar notes,$750,1.500%,May 2020,May 2025
U.S. dollar notes,$750,3.375%,August 2015,August 2025
U.S. dollar notes,$750,2.750%,February 2016,February 2026
U.S. dollar notes,$750,0.875%,November 2020,May 2026
U.S. dollar notes,$500,3.125%,August 2017,August 2027
U.S. dollar notes,$500,3.125%,November 2017,March 2028
U.S. dollar notes,$750,3.375%,May 2019,August 2029
U.S. dollar notes,$750,2.100%,May 2020,May 2030
U.S. dollar notes,$750,1.750%,November 2020,November 2030
U.S. dollar notes,"$1,500",6.375%,May 2008,May 2038
U.S. dollar notes,$750,4.375%,November 2011,November 2041
U.S. dollar notes,$700,4.500%,March 2012,March 2042
U.S. dollar notes,$750,3.875%,August 2012,August 2042
U.S. dollar notes U.S. dollar notes,$850,4.125%,March 2013,March 2043
U.S. dollar notes,$750,4.875%,November 2013,November 2043
,$750,4.250%,November 2014,November 2044
U.S. dollar notes,(a) $500,4.250%,May 2016,November 2044
EURO notes,"(b) €750 (approximately $1,029)",1.875%,March 2014,March 2021
EURO notes EURO notes,（6） €600 (approximately $761),2.875%,May 2012,May 2024
EURO notes,(b) €500 (approximately $582) (b),0.625%,November 2017,November 2024
EURO notes,€750 (approximately $972) (b),2.750%,March 2013,March 2025 March 2026
EURO notes,"€1,000 (approximately $1,372) (b)",2.875%,March 2014,
EURO notes,€500 (approximately $557) (b）,0.125%,August 2019,August 2026 May 2029
EURO notes,€500 (approximately $697) （b）,2.875% 0.800%,May 2014 August 2019,August 2031
EURO notes,€750 (approximately $835) (b) £500 (approximately $648),3.125%,June 2013,June 2033
EURO notes,(b） €500 (approximately $578),2.000%,May 2016,May 2036
EURO notes,(b) €500 (approximately $582),1.875%,November 2017,November 2037
EURO notes,(b) €750 (approximately $835),1.450%,August 2019,August 2039
Swiss franc notes,(b) CHF300 (approximately $335),2.000%,December 2011,December 2021
Swiss franc notes,(b) CHF250 (approximately $283),1.625%,May 2014,May 2024
