,Markets for,Markets for,Significant Other Observable,Significant Other Observable
Asset Category (in millions),"At December 31, 2019",Identical Assets/Liabilities (Level 1),Inputs (Level 2),Unobservable Inputs (Level 3)
Cash and cash equivalents,,276 $,,
Equity securities:,,170,,
U.S. securities,,563,,
International securities,,,,
Investment funds(@),"6,125",,"4,625 $","1,500"
International government bonds,,,137,60
Corporate bonds,,,282,
Other,,6,"6 6,059 $",
Total assets in the fair value hierarchy,"7,619 $",,,"1,560 $"
Investment funds measured at net asset value(b),309,,,
Total assets,"7,928",,,
