Cigaretes,2020,2019,2018
Cigaretes,,,
European Union,"163,420","174,319","179,622"
Eastern Europe,"93,462","100,644","108,718"
Middle East & Africa,"117,999","134,568","136,605"
South & Southeast Asia,"144,788","174,934","178,469"
East Asia & Australia,"45,100","49,951","56,163"
Latin America & Canada,"63,749","72,293","80,738"
Total Cigarettes,"628,518","706,709","740,315"
Heated Tobacco Units,Heated Tobacco Units,Heated Tobacco Units,Heated Tobacco Units
European Union,"19,842","12,569","5,977"
Eastern Europe,"20,898","13,453","4,979"
Middle East & Africa,"1,022","2,654","3,403"
South & Southeast Asia,36,,
East Asia & Australia,"33,862","30,677","26,866"
Latin America & Canada (l),451,299,147
Total Heated Tobacco Units,"76,111","59,652","41,372"
Cigarettes and Heated Tobacco Units,Cigarettes and Heated Tobacco Units,Cigarettes and Heated Tobacco Units,Cigarettes and Heated Tobacco Units
European Union,"183,262","186,888","185,599"
Eastern Europe,"114,360","114,097","113,697"
Middle East & Africa,"119,021","137,222","140,008"
South & Southeast Asia,"144,824","174,934","178,469"
East Asia & Australia,"78,962","80,628","83,029"
Latin America & Canada,"64,200","72,592","80,885"
Total Cigarettes and Heated Tobacco Units,"704,629","766,361","781,687"
