(in millions),Pension,Post-retirement,Post-employment,Total
Amounts transferred to earnings:,,,,
Amortization:,,,,
Net losses,$ 180,$ 5,$ 62,$ 247
Prior service cost,,(1),,(1)
Net transition obligation,1,,,1
Other income/expense:,,,,
Net losses,14,,,14
Deferred income taxes,-28,-1,-14,-43
,167,"3,48,218",,"3,48,218"
Other movements during the year:,,,,
Net losses,"(1,008)",34,(147),"(1,121)"
Prior service cost,8,,,8
Deferred income taxes,80,-7,-8,65
,,,920,"27,(155),(1,048)"
Total movements in other comprehensive earnings (losses),-753,30,-107,-830
