Diluted EPS,% Growth (Decline)
$ 4.61,
"For the year ended December 31, 2019",$ 4.61
0.23,2019 Asset impairment and exit costs
0.09,2019 Canadian tobacco litigation-related expense
0.12,2019 Loss on deconsolidation of RBH
0.20,2019 Russia excise and VAT audit charge
(0.02),2019 Fair value adjustment for equity security investments
(0.04),2019 Tax items
0.58,Subtotal of 2019 items
(0.08),2020 Asset impairment and exit costs
0.05,2020 Brazil indirect tax credit
(0.04),2020 Fair value adjustment for equity security investments
0.06,2020 Tax items
(0.01),Subtotal of 2020 items
(0.32),Currency
(0.02),Interest
0.05,Change in tax rate
0.27,Operations
$ 5.16,"For the year ended December 31,2020 $ 5.16 11.9 %"
11.9 %,
