Cigarettes,Full-Year,2020,2019,Change
Marlboro,Full-Year,233158,262908,(11.3)%
L&M,Full-Year,91098,92873,(1.9)%
Chesterfield,Full-Year,52139,57185,(8.8)%
Philip Morris,Full-Year,45645,49164,(7.2)%
Parliament,Full-Year,34737,38723,(10.3)%
Sampoerna A,Full-Year,32862,35133,(6.5)%
Dji Sam Soe,Full-Year,24754,32435,(23.7)%
Bond Street,Full-Year,24113,28025,(14.0)%
Lark,Full-Year,15489,19602,(21.0)%
Next,Full-Year,8980,8602,4.4%
Others,Full-Year,65543,82059,(20.1)%
Total Cigarettes,Full-Year,628518,706709,(11.1)%
Heated Tobacco Units (1),Full-Year,76111,59652,27.6%
Total Cigarettes and Heated Tobacco Units,Full-Year,704629,766361,(8.1)%
