(in millions),2020,2019,2018
Combustible Products,,,
"Combustible Products, European Union","$ 8,053","$ 8,093","$ 8,433"
"Combustible Products, Eastern Europe","2,250","2,438","2,597"
"Combustible Products, Middle East & Africa","3,031","3,721","3,732"
"Combustible Products, South & Southeast Asia","4,395","5,094","4,656"
"Combustible Products, East Asia & Australia","2,468","2,693","3,074"
"Combustible Products, Latin America & Canada","1,670","2,179","3,037"
"Combustible Products, Total Combustible Products","$ 21,867","$ 24,218","$ 25,529"
Reduced-Risk Products,,,
"Reduced-Risk Products, European Union","$ 2,649","1,724",865
"Reduced-Risk Products, Eastern Europe","1,128",844,324
"Reduced-Risk Products, Middle East & Africa",57,321,382
"Reduced-Risk Products, South & Southeast Asia",—,—,382
"Reduced-Risk Products, East Asia & Australia","$ 2,961","2,671","2,506"
"Reduced-Risk Products, Latin America & Canada",31,27,19
"Reduced-Risk Products, Total Reduced-Risk Products","$ 6,827","$ 5,587","$ 4,096"
Total PMI Net Revenues,"$ 28,694","$ 29,805","$ 29,625"
