Summary of Operations,2020,2019,2018,2017,2016
Revenues including excise taxes,"$ 76,047","$ 77,921","$ 79,823","$ 78,098","$ 74,953"
Excise taxes on products,"47,353","48,116","50,198","49,350","48,268"
Net revenues,"28,694","29,805","29,625","28,748","26,685"
Operating income,"11,668","10,531","11,377","11,581","10,903"
Net earnings attributable to PMI,"8,056","7,185","7,911","6,035","6,967"
Basic earnings per share,5.16,4.61,5.08,3.88,4.48
Diluted earnings per share,5.16,4.61,5.08,3.88,4.48
Dividends declared per share,4.74,4.62,4.49,4.22,4.12
Total assets,"44,815","42,875","39,801","42,968","36,851"
Long-term debt (1),"28,168","26,656","26,975","31,334","25,851"
Total debt,"31,536","31,045","31,759","34,339","29,067"
