,,Post-,Post-,
(in millions),Pension,retirement,employment,Total
Amounts transferred to earnings:,,,,
Amortization:,,,,
Net losses Prior service cost,$ 198 $,3$,,77 $ 278
,32,(1),,31
Other income/expense:,,,,
Net losses,3,,,3
Deferred income taxes,(51),(1),,(17) (69)
,182,1,,60 243
Other movements during the year:,,,,
Net losses,(521),(27),,(150) (698) (2)
Prior service cost,(2),,,
Deconsolidation of RBH (net of deferred income taxes),26,1,,27
Deferred income taxes,206,6,,35 247
,(291),(20),,(115) (426)
Total movements in other comprehensive earnings (losses),$ (109) $,(19) $,,(55) $ (183)
