European Union Key Data,Full-Year,2020,2019,Change,% / pp
Total Market (billion units),472.7,482.8,(2.1)%,,
PMI Shipment Volume (million units),Cigarettes,"163,420","174,319",(6.3)%,
Heated Tobacco Units,"19,842","12,569",57.9 %,,
Total European Union,"183,262","186,888",(1.9)%,,
PMI Market Share,Marlboro,17.5 %,18.0 %,(0.5),
L&M,6.2 %,6.7 %,(0.5),,
Chesterfield,5.5 %,5.8 %,(0.3),,
Philip Morris,2.4 %,2.7 %,(0.3),,
HEETS,4.2 %,2.5 %,1.7,,
Others,3.1 %,3.1 %,—,,
Total European Union,38.9 %,38.8 %,0.1,,
