"Total Number Approximateof Shares Dollar ValuePurchased as of Shares thatTotal Part of Publicly May Yet beNumber of Average Announced PurchasedShares Price Paid Plans or Under the PlansPeriod Repurchased per Share Programs orProgramsOctober 1,2020 -","Total Number Approximateof Shares Dollar ValuePurchased as of Shares thatTotal Part of Publicly May Yet beNumber of Average Announced PurchasedShares Price Paid Plans or Under the PlansPeriod Repurchased per Share Programs orProgramsOctober 1,2020 -","Total Number Approximateof Shares Dollar ValuePurchased as of Shares thatTotal Part of Publicly May Yet beNumber of Average Announced PurchasedShares Price Paid Plans or Under the PlansPeriod Repurchased per Share Programs orProgramsOctober 1,2020 -","Total Number Approximateof Shares Dollar ValuePurchased as of Shares thatTotal Part of Publicly May Yet beNumber of Average Announced PurchasedShares Price Paid Plans or Under the PlansPeriod Repurchased per Share Programs orProgramsOctober 1,2020 -","Total Number Approximateof Shares Dollar ValuePurchased as of Shares thatTotal Part of Publicly May Yet beNumber of Average Announced PurchasedShares Price Paid Plans or Under the PlansPeriod Repurchased per Share Programs orProgramsOctober 1,2020 -","Total Number Approximateof Shares Dollar ValuePurchased as of Shares thatTotal Part of Publicly May Yet beNumber of Average Announced PurchasedShares Price Paid Plans or Under the PlansPeriod Repurchased per Share Programs orProgramsOctober 1,2020 -",,,,,,
"Total Number Approximateof Shares Dollar ValuePurchased as of Shares thatTotal Part of Publicly May Yet beNumber of Average Announced PurchasedShares Price Paid Plans or Under the PlansPeriod Repurchased per Share Programs orProgramsOctober 1,2020 -","Total Number Approximateof Shares Dollar ValuePurchased as of Shares thatTotal Part of Publicly May Yet beNumber of Average Announced PurchasedShares Price Paid Plans or Under the PlansPeriod Repurchased per Share Programs orProgramsOctober 1,2020 -","Total Number Approximateof Shares Dollar ValuePurchased as of Shares thatTotal Part of Publicly May Yet beNumber of Average Announced PurchasedShares Price Paid Plans or Under the PlansPeriod Repurchased per Share Programs orProgramsOctober 1,2020 -","Total Number Approximateof Shares Dollar ValuePurchased as of Shares thatTotal Part of Publicly May Yet beNumber of Average Announced PurchasedShares Price Paid Plans or Under the PlansPeriod Repurchased per Share Programs orProgramsOctober 1,2020 -","Total Number Approximateof Shares Dollar ValuePurchased as of Shares thatTotal Part of Publicly May Yet beNumber of Average Announced PurchasedShares Price Paid Plans or Under the PlansPeriod Repurchased per Share Programs orProgramsOctober 1,2020 -","Total Number Approximateof Shares Dollar ValuePurchased as of Shares thatTotal Part of Publicly May Yet beNumber of Average Announced PurchasedShares Price Paid Plans or Under the PlansPeriod Repurchased per Share Programs orProgramsOctober 1,2020 -",that,,,,,
"Total Number Approximateof Shares Dollar ValuePurchased as of Shares thatTotal Part of Publicly May Yet beNumber of Average Announced PurchasedShares Price Paid Plans or Under the PlansPeriod Repurchased per Share Programs orProgramsOctober 1,2020 -","Total Number Approximateof Shares Dollar ValuePurchased as of Shares thatTotal Part of Publicly May Yet beNumber of Average Announced PurchasedShares Price Paid Plans or Under the PlansPeriod Repurchased per Share Programs orProgramsOctober 1,2020 -","Total Number Approximateof Shares Dollar ValuePurchased as of Shares thatTotal Part of Publicly May Yet beNumber of Average Announced PurchasedShares Price Paid Plans or Under the PlansPeriod Repurchased per Share Programs orProgramsOctober 1,2020 -","Total Number Approximateof Shares Dollar ValuePurchased as of Shares thatTotal Part of Publicly May Yet beNumber of Average Announced PurchasedShares Price Paid Plans or Under the PlansPeriod Repurchased per Share Programs orProgramsOctober 1,2020 -","Total Number Approximateof Shares Dollar ValuePurchased as of Shares thatTotal Part of Publicly May Yet beNumber of Average Announced PurchasedShares Price Paid Plans or Under the PlansPeriod Repurchased per Share Programs orProgramsOctober 1,2020 -","Total Number Approximateof Shares Dollar ValuePurchased as of Shares thatTotal Part of Publicly May Yet beNumber of Average Announced PurchasedShares Price Paid Plans or Under the PlansPeriod Repurchased per Share Programs orProgramsOctober 1,2020 -",MavYe,,,,,
"Total Number Approximateof Shares Dollar ValuePurchased as of Shares thatTotal Part of Publicly May Yet beNumber of Average Announced PurchasedShares Price Paid Plans or Under the PlansPeriod Repurchased per Share Programs orProgramsOctober 1,2020 -","Total Number Approximateof Shares Dollar ValuePurchased as of Shares thatTotal Part of Publicly May Yet beNumber of Average Announced PurchasedShares Price Paid Plans or Under the PlansPeriod Repurchased per Share Programs orProgramsOctober 1,2020 -","Total Number Approximateof Shares Dollar ValuePurchased as of Shares thatTotal Part of Publicly May Yet beNumber of Average Announced PurchasedShares Price Paid Plans or Under the PlansPeriod Repurchased per Share Programs orProgramsOctober 1,2020 -","Total Number Approximateof Shares Dollar ValuePurchased as of Shares thatTotal Part of Publicly May Yet beNumber of Average Announced PurchasedShares Price Paid Plans or Under the PlansPeriod Repurchased per Share Programs orProgramsOctober 1,2020 -","Total Number Approximateof Shares Dollar ValuePurchased as of Shares thatTotal Part of Publicly May Yet beNumber of Average Announced PurchasedShares Price Paid Plans or Under the PlansPeriod Repurchased per Share Programs orProgramsOctober 1,2020 -","Total Number Approximateof Shares Dollar ValuePurchased as of Shares thatTotal Part of Publicly May Yet beNumber of Average Announced PurchasedShares Price Paid Plans or Under the PlansPeriod Repurchased per Share Programs orProgramsOctober 1,2020 -","October 1,2020 -",,$ $,$ $,$ $,$ $
"October 31, 2020 (1)",,,,,,,,,,,
"November1,2020-一November 30,2020 (1)",,$ $,$ $,$ $,$ $,,,,,,
"November1,2020-一November 30,2020 (1)",,$ $,$ $,$ $,$ $,,,,,,
"December 1, 2020 -December 31, 2020 (1)",,$ $,$ $,$ $,$ $,,,,,,
Pursuant to Publicly AnnouncedPlans or Programs,,$,$,$,$,,,,,,
"October 1, 2020 -October 31,2020 (2)","1,126 $",75.97,75.97,75.97,75.97,,,,,,
