for the years ended December 31,2020,2019,2018
Revenues including excise taxes,"$ 76,047","$ 77,921","$ 79,823"
Excise taxes on products,"47,353","48,116","50,198"
Net revenues,"28,694","29,805","29,625"
Cost of sales,"9,569","10,513","10,758"
Gross profit,"19,125","19,292","18,867"
"Marketing, administration and research costs (Notes 12, 17, 19 & 20)","7,384","8,695","7,408"
Amortization of intangibles,73,66,82
Operating income,"11,668","10,531","11,377"
"Interest expense, net (Note 14)",618,570,665
Pension and other employee benefit costs (Note 13),97,89,41
Earnings before income taxes,"10,953","9,872","10,671"
Provision for income taxes (Note 11),"2,377","2,293","2,445"
"Equity investments and securities (income)/loss, net",(16),(149),(60)
Net earnings,"8,592","7,728","8,286"
Net earnings attributable to noncontrolling interests,536,543,375
Net earnings attributable to PMI,"$ 8,056","$ 7,185","$ 7,911"
Per share data (Note 10):,Basic earnings per share,$ 5.16,"$ 4.61,$ 5.08"
Diluted earnings per share,$ 5.16,$ 4.61,$ 5.08
