Cigarettes,Full-Year,2020,2019,Change
Marlboro,Full-Year,"233,158","262,908",(11.3)%
L&M,Full-Year,"91,098","92,873",(1.9)%
Chesterfield,Full-Year,"52,139","57,185",(8.8)%
Philip Morris,Full-Year,"45,645","49,164",(7.2)%
Parliament,Full-Year,"34,737","38,723",(10.3)%
Sampoerna A,Full-Year,"32,862","35,133",(6.5)%
Dji Sam Soe,Full-Year,"24,754","32,435",(23.7)%
Bond Street,Full-Year,"24,113","28,025",(14.0)%
Lark,Full-Year,"15,489",,(21.0)%
Next,Full-Year,"8,980","8,602",4.4%
Others,Full-Year,"65,543","82,059",(20.1)%
Total Cigarettes,Full-Year,"628,518","706,709",(11.1)%
Heated Tobacco Units (1),Full-Year,"76,111","59,652",27.6%
Total Cigarettes and Heated Tobacco Units,Full-Year,"704,629","766,361",(8.1)%
