"at December 31,2020",2020,2019,2019
Cash and cash equivalents,"$ 7,280",,"$ 6,861"
Trade receivables (less allowances of $23 in 2020 and $20 in 2019),"2,905",,"3,080"
Other receivables (less allowances of $38 in 2020 and $35 in 2019),856,,637
Inventories:,,,
Leaf tobacco,"2,063",,"2,052"
Other raw materials,"1,712",,"1,596"
Finished product,"5,816",,"5,587"
,"9,591",,"9,235"
Other current assets,860,,701
Total current assets,"21,492",,"20,514"
"Property, plant and equipment, at cost:",,,
Land and land improvements,"590,566",,
Buildings and building equipment,"4,410",,"4,132"
Machinery and equipment,"9,460",,"9,354"
Construction in progress,"449,394",,
,"14,909",,"14,446"
Less: accumulated depreciation,"8,544",,"7,815"
,"6,365",,"6,631"
Goodwill (Note 3),"5,964",,"5,858"
"Other intangible assets, net (Note 3)","2,019",,"2,113"
Equity investments (Note 4),"4,798",,"4,635"
Deferred income taxes,"1,410",,"1,153"
Other assets (less allowances of $22 in 2020 and $15 in 2019),"2,767",,"1,971"
Total Assets,"$ 44,815",,"$ 42,875"
