Type,Face Value,Interest Rate,Issuance,Maturity
U.S. dollar notes,$750,1.875%,February 2016,February 2021
U.S. dollar notes,$350,4.125%,May 2011,May 2021
U.S. dollar notes,$750,2.900%,November 2011,November 2021
U.S. dollar notes,$500,2.625%,February 2017,February 2022
U.S. dollar notes,$750,2.375%,August 2017,August 2022
U.S. dollar notes,$750,2.500%,August 2012,August 2022
U.S. dollar notes,$750,2.500%,November 2017,November 2022
U.S. dollar notes,$600,2.625%,March 2013,March 2023
U.S. dollar notes,$500,2.125%,May 2016,May 2023
U.S. dollar notes,$750,1.125%,May 2020,May 2023
U.S. dollar notes,$500,3.600%,November 2013,November 2023
U.S. dollar notes,$900,2.875%,May 2019,May 2024
U.S. dollar notes,$750,3.250%,November 2014,November 2024
U.S. dollar notes,$750,1.500%,May 2020,May 2025
U.S. dollar notes,$750,3.375%,August 2015,August 2025
U.S. dollar notes,$750,2.750%,February 2016,February 2026
U.S. dollar notes,$750,0.875%,November 2020,May 2026
U.S. dollar notes,$500,3.125%,August 2017,August 2027
U.S. dollar notes,$500,3.125%,November 2017,March 2028
U.S. dollar notes,$750,3.375%,May 2019,August 2029
U.S. dollar notes,$750,2.100%,May 2020,May 2030
U.S. dollar notes,$750,1.750%,November 2020,November 2030
U.S. dollar notes,"$1,500",6.375%,May 2008,May 2038
U.S. dollar notes\t$750\t2.100%\tMay 2020\tMay 2030,,,,
U.S. dollar notes\t$750\t1.750%\tNovember 2020\tNovember 2030,,,,
U.S. dollar notes\t$1,500\t6.375%\tMay 2008\tMay 2038,,,
U.S. dollar notes\t$750\t4.375%\tNovember 2011\tNovember 2041,,,,
U.S. dollar notes\t$700\t4.500%\tMarch 2012\tMarch 2042,,,,
U.S. dollar notes\t$750\t3.875%\tAugust 2012\tAugust 2042,,,,
U.S. dollar notes\t$850\t4.125%\tMarch 2013\tMarch 2043,,,,
U.S. dollar notes\t$750\t4.875%\tNovember 2013\tNovember 2043,,,,
U.S. dollar notes\t$750\t4.250%\tNovember 2014\tNovember 2044,,,,
U.S. dollar notes\t$500\t4.250%\tMay 2016\tNovember 2044,,,,
EURO notes\t€750 (approximately $1,029)\t1.875%\tMarch 2014\tMarch 2021,,,
EURO notes\t€600 (approximately $761)\t2.875%\tMay 2012\tMay 2024,,,,
EURO notes\t€500 (approximately $582)\t0.625%\tNovember 2017\tNovember 2024,,,,
EURO notes\t€750 (approximately $972)\t2.750%\tMarch 2013\tMarch 2025,,,,
EURO notes\t€1,000 (approximately $1,372)\t2.875%\tMarch 2014\tMarch 2026,,
EURO notes\t€500 (approximately $557)\t0.125%\tAugust 2019\tAugust 2026,,,,
EURO notes\t€500 (approximately $697)\t2.875%\tMay 2014\tMay 2029,,,,
EURO notes\t€750 (approximately $835)\t0.800%\tAugust 2019\tAugust 2031,,,,
EURO notes\t€500 (approximately $648)\t3.125%\tJune 2013\tJune 2033,,,,
EURO notes\t€500 (approximately $578)\t2.000%\tMay 2016\tMay 2036,,,,
EURO notes\t€500 (approximately $582)\t1.875%\tNovember 2017\tNovember 2037,,,,
EURO notes\t€750 (approximately $835)\t1.450%\tAugust 2019\tAugust 2039,,,,
Swiss franc notes\tCHF300 (approximately $335)\t2.000%\tDecember 2011\tDecember 2021,,,,
Swiss franc notes\tCHF250 (approximately $283)\t1.625%\tMay 2014\tMay 2024,,,,
Swiss franc notes\tCHF50 (approximately 5000)\t1.000%\tDecember 2011\tDecember 2021,,,,
