(in millions),2020,2019,2018
Net Revenues,,,
European Union,"10,702 $ $","9,817 $","9,298"
Eastern Europe,"3,378","3,282",2.921
Middle East & Africa,"3,088","4,042","4,114"
South & Southeast Asia,"4,396","5,094","4,656"
East Asia & Australia,"5,429","5,364","5,580"
Latin America & Canada (),"1,701","2,206",3.056
Net revenues,"28,694 $ $","29,805 $","29,625"
Operating Income,,,
European Union,"5,098 $ $","3,970 $","4,105"
Eastern Europe,871,547,902
Middle East & Africa,"1,026","1,684","1,627"
South & Southeast Asia,"1,709","2,163","1,747"
East Asia & Australia,,"1,932","1,851"
Latin America & Canada (),"2,400",,
Operating income,"564 11,668 $ $","235 10,531 $","1,145 11,377"
