(in millions),"December 31,","December 31,"
(in millions),2020,2019
"U.S.dollar notes, 0.875% to 6.375%(average interest rate 3.199%),due through 2044","$ 21,221 $","19,783"
Foreign currency obligations:,,
"Euro notes, 0.125% to 3.125% (average interest rate 1.983%), due through 2039","9,253","9,822"
"Swiss franc notes, 1.625% to 2.000% (average interest rate 1.830%), due through 2024",622,899
"Other (average interest rate 3.187%),due through 205 (a)",196,203
Carrying value of long-term debt,"31,292","30,707"
Less current portion of long-term debt,"3,124",
,"$ 28,168 $","4,051 26,656"
