"10.16 Philip Moris International Inc. Amended and Restated Automobile Policy, dated as of October 1,2019.*10.17 Philip Morris International Benefit Equalization Plan, amended and restated (incorporated by.reference to Exhibit 10.2 to the Quarterly Report on Form 10-Q for the quarter ended March 31,2019).*","10.16 Philip Moris International Inc. Amended and Restated Automobile Policy, dated as of October 1,2019.*10.17 Philip Morris International Benefit Equalization Plan, amended and restated (incorporated by.reference to Exhibit 10.2 to the Quarterly Report on Form 10-Q for the quarter ended March 31,2019).*","10.16 Philip Moris International Inc. Amended and Restated Automobile Policy, dated as of October 1,2019.*10.17 Philip Morris International Benefit Equalization Plan, amended and restated (incorporated by.reference to Exhibit 10.2 to the Quarterly Report on Form 10-Q for the quarter ended March 31,2019).*","10.16 Philip Moris International Inc. Amended and Restated Automobile Policy, dated as of October 1,2019.*10.17 Philip Morris International Benefit Equalization Plan, amended and restated (incorporated by.reference to Exhibit 10.2 to the Quarterly Report on Form 10-Q for the quarter ended March 31,2019).*",,,,,,,,
"10.16 Philip Moris International Inc. Amended and Restated Automobile Policy, dated as of October 1,2019.*10.17 Philip Morris International Benefit Equalization Plan, amended and restated (incorporated by.reference to Exhibit 10.2 to the Quarterly Report on Form 10-Q for the quarter ended March 31,2019).*","10.16 Philip Moris International Inc. Amended and Restated Automobile Policy, dated as of October 1,2019.*10.17 Philip Morris International Benefit Equalization Plan, amended and restated (incorporated by.reference to Exhibit 10.2 to the Quarterly Report on Form 10-Q for the quarter ended March 31,2019).*","10.16 Philip Moris International Inc. Amended and Restated Automobile Policy, dated as of October 1,2019.*10.17 Philip Morris International Benefit Equalization Plan, amended and restated (incorporated by.reference to Exhibit 10.2 to the Quarterly Report on Form 10-Q for the quarter ended March 31,2019).*","10.16 Philip Moris International Inc. Amended and Restated Automobile Policy, dated as of October 1,2019.*10.17 Philip Morris International Benefit Equalization Plan, amended and restated (incorporated by.reference to Exhibit 10.2 to the Quarterly Report on Form 10-Q for the quarter ended March 31,2019).*",10.17,10.17,,,,,,
"10.16 Philip Moris International Inc. Amended and Restated Automobile Policy, dated as of October 1,2019.*10.17 Philip Morris International Benefit Equalization Plan, amended and restated (incorporated by.reference to Exhibit 10.2 to the Quarterly Report on Form 10-Q for the quarter ended March 31,2019).*","10.16 Philip Moris International Inc. Amended and Restated Automobile Policy, dated as of October 1,2019.*10.17 Philip Morris International Benefit Equalization Plan, amended and restated (incorporated by.reference to Exhibit 10.2 to the Quarterly Report on Form 10-Q for the quarter ended March 31,2019).*","10.16 Philip Moris International Inc. Amended and Restated Automobile Policy, dated as of October 1,2019.*10.17 Philip Morris International Benefit Equalization Plan, amended and restated (incorporated by.reference to Exhibit 10.2 to the Quarterly Report on Form 10-Q for the quarter ended March 31,2019).*","10.16 Philip Moris International Inc. Amended and Restated Automobile Policy, dated as of October 1,2019.*10.17 Philip Morris International Benefit Equalization Plan, amended and restated (incorporated by.reference to Exhibit 10.2 to the Quarterly Report on Form 10-Q for the quarter ended March 31,2019).*",,,,,,,,
"10.16 Philip Moris International Inc. Amended and Restated Automobile Policy, dated as of October 1,2019.*10.17 Philip Morris International Benefit Equalization Plan, amended and restated (incorporated by.reference to Exhibit 10.2 to the Quarterly Report on Form 10-Q for the quarter ended March 31,2019).*","10.16 Philip Moris International Inc. Amended and Restated Automobile Policy, dated as of October 1,2019.*10.17 Philip Morris International Benefit Equalization Plan, amended and restated (incorporated by.reference to Exhibit 10.2 to the Quarterly Report on Form 10-Q for the quarter ended March 31,2019).*","10.16 Philip Moris International Inc. Amended and Restated Automobile Policy, dated as of October 1,2019.*10.17 Philip Morris International Benefit Equalization Plan, amended and restated (incorporated by.reference to Exhibit 10.2 to the Quarterly Report on Form 10-Q for the quarter ended March 31,2019).*","10.16 Philip Moris International Inc. Amended and Restated Automobile Policy, dated as of October 1,2019.*10.17 Philip Morris International Benefit Equalization Plan, amended and restated (incorporated by.reference to Exhibit 10.2 to the Quarterly Report on Form 10-Q for the quarter ended March 31,2019).*",,,,2019).*,,,,
10.18,10.18,10.18,"Philip Morris International Inc. 2017 Performance Incentive Plan, effective May 3, 2017(incorporated by reference to Exhibit B to the Definitive Proxy Statement filed on March 23,2017). *",,,,,,,,
,,,"Philip Morris International Inc. 2017 Performance Incentive Plan, effective May 3, 2017(incorporated by reference to Exhibit B to the Definitive Proxy Statement filed on March 23,2017). *",,,,,,,,
,,,"Philip Morris International Inc. 2017 Performance Incentive Plan, effective May 3, 2017(incorporated by reference to Exhibit B to the Definitive Proxy Statement filed on March 23,2017). *",,,,,,,,
10.19,10.19,10.19,Pension Fund of Philip Morris in Switzerland (IC) (incorporated by reference to Exhibit 10.2 to the,,,,,,,,
,,,"Quarterly Report on Form 10-Q for the quarter ended March 31, 2015).",,,,,,,,
10.20,10.20,10.20,Summary of Supplemental Pension Plan of Philip Mors in Switzerland (incorporated by reference,,,,,,,,
,,,"to Exhibit 10.1 to the Quarterly Report on Form 10-Q for the quarter ended June 30, 2015).*",,,,,,,,
