(in millions),Post- retirement,Post- employment,,Total
,Pension,,,
Amounts transferred to earnings:,,,,
Amortization:,,,,
Net losses,$ 250$3$,,,78 $ 331
Prior service cost,29,,,29
Net transition obligation,1,,,1
Other income/expense:,,,,
Net losses,3,,3,
Prior service cost,2,,2,
Deferred income taxes,(49),(1),(17) (67),
,236,2,61 299,
Other movements during the year:,Other movements during the year:,,,
Net losses,(682) （4） (142),,,
Prior service cost (22),(12),,,
Deferred income taxes,99 1 39 (595),,,
(723) (424),(3) (125) (359) $ 1$ (64）$,,,
