(in millions),2020,2019
Separation programs:(1),,
European Union,$ 53,$ 251
Eastern Europe,14,
Middle East & Africa,18,
South & Southeast Asia,22,3
East Asia & Australia,25,
Latin America & Canada,9,49
Total separation programs,141,303
Asset impairment charges:(1),,
European Union,4,91
Eastern Europe,1,
Middle East & Africa,1,
South & Southeast Asia,1,17
East Asia & Australia,1,
Latin America & Canada,,11
Total asset impairment charges,8,119
Asset impairment and exit costs,$ 149,$ 422
