(in millions),2020,2019,2018
Combustible Products,,,
European Union,"8,053 $ $","8,093 $","8,433"
Eastern Europe,"2,250",2.438,"2,597"
Middle East & Africa,"3,031","3,721","3,732"
South & Southeast Asia,"4,395","5,094","4,656"
East Asia & Australia,"2,468","2,693","3,074"
Latin America & Canada,"1,670","2,179","3,037"
Total Combustible Products $,"21,867 $","24,218 $","25,529"
Reduced-Risk Products,,,
European Union,,,865
Eastern Europe,"$ 2,649 $","1,724 $",
Middle East & Africa,"1,128 57",844 321,324
South & Southeast Asia,,,382
East Asia & Australia,1,,
Latin America & Canada,"2,961",2.671,"2,506"
Total Reduced-Risk Products,31,27,19
,"$ 6,827 $","5,587 $","4,096"
Total PMI Net Revenues,"$ 28,694 $","29,805$","29,625"
