Latin America & Canada\t64,200\t72,592\t80,885
Cigarettes	European Union	163420	174319	179622	Eastern Europe	93462	100644	108718	Middle East & Africa	117999	134568	136605	South & Southeast Asia	144788	174934	178469	East Asia & Australia	45100	49951	56163	Latin America & Canada	63749	72293	80738	Total Cigarettes	628518	706709	740315	Heated Tobacco Units	European Union	19842	12569	5977	Eastern Europe	20898	13453	4979	Middle East & Africa	1022	2654	3403	South & Southeast Asia	36	—	—,,,
European Union    19342    12569    3977,,,
Eastern Europe    20898    13453    4979,,,
Middle East & Africa    1022    2654    3403,,,
South & Southeast Asia    36    -    -,,,
East Asia & Australia    33862    30677    26866,,,
Latin America & Canada    451    299    147,,,
Total Heated Tobacco Units    76111    59652    41372,,,
Cigarettes and Heated Tobacco Units,,,
European Union    183262    186888    185599,,,
Eastern Europe    114360    114097    113697,,,
Middle East & Africa    119021    137222    140008,,,
South & Southeast Asia    144824    174934    178469,,,
East Asia & Australia    78962    80628    83029,,,
Latin America & Canada    64200    72592    80885,,,
Total Cigarettes and Heated Tobacco Units    704629    766361    781687,,,
Total Cigarettes and Heated Tobacco Units\t704,629\t766,361\t781,687
