Asset Category (in millions),"At December 31, 2019",Quoted Prices In Active Markets for Identical Assets/Liabilities (Level 1),Significant Other Observable Inputs (Level 2),Significant Unobservable Inputs (Level 3)
Cash and cash equivalents,$ 276,$ 276,,
Equity securities:,,,,
U.S. securities,170,170,,
International securities,563,563,,
Investment funds(a),"6,125","4,625","$ 1,500",$
International government bonds,197,137,60,
Corporate bonds,282,282,,
Other,6,6,,
Total assets in the fair value hierarchy,"$ 7,619","$ 6,059","$ 1,560",$
Investment funds measured at net asset value(b),309,,,
Total assets,"$ 7,928",,,
