"For the Years Ended December 31, (in millions, except per share data) (Unaudited)",2020,2019,% Change
Net Revenues,"$ 28,694","$ 29,805",(3.7)%
Net Revenues attributable to RBH,(181),(1),
Net Revenues,"28,694","29,624",(3.1)%
Less: Currency,(470),,
"Net Revenues, ex. currency","$ 29,164","$ 29,624",(1.6)%
Operating Income,"$ 11,668","$ 10,531",10.8 %
Less:,,,
Asset impairment and exit costs,(149),(422),
Canadian tobacco litigation-related expense,—,(194),
Loss on deconsolidation of RBH,—,(239),
Russia excise and VAT audit charge,—,(374),
Brazil indirect tax credit,119,,
Adjusted Operating Income,"$ 11,698","$ 11,760",(0.5)%
Operating Income attributable to RBH,(126),(1),
Adjusted Operating Income,"11,698","11,634",0.6 %
Less: Currency,(474),,
"Adjusted Operating Income, ex. currency","$ 12,172","$ 11,634",4.6 %
Adjusted Operating Income Margin,40.8 %,39.5 %,1.3
Adjusted Operating Income Margin attributable to RBH,(0.2),(1),
Adjusted Operating Income Margin,40.8 %,39.3 %,1.5
Less: Currency,(0.9),,
"Adjusted Operating Income Margin, ex. currency",41.7 %,39.3 %,2.4
Adjusted Diluted EPS (5),$ 5.17,$ 5.19,(0.4)%
Net Earnings attributable to RBH,(0.06),(1),
Adjusted Diluted EPS,$ 5.17,$ 5.13,0.8 %
Less: Currency,(0.32),,
"Adjusted Diluted EPS, ex. currency",$ 5.49,$ 5.13,7.0 %
Net cash provided by operating activities (6),"$ 9,812","$ 10,090",(2.8)%
Net cash provided by operating activities attributable to RBH,(102),(1),
Net cash provided by operating activities,"$ 9,812","$ 9,988",(1.8)%
Less: Currency,(524),,
"Net cash provided by operating activities, excluding currency","$ 10,336","$ 9,988",3.5 %
