(in millions),Pension,Post-retirement,Post-employment,Total
Amounts transferred to earnings:,,,,
Amortization:,,,,
Net losses,$ 250,$ 3,$ 78,$ 331
Prior service cost,29,,,29
Net transition obligation,1,,,1
Other income/expense:,,,,
Net losses,3,,,3
Prior service cost,2,,,2
Deferred income taxes,(49),(1),(17),(67)
,236,2,61,299
Other movements during the year:,,,,
Net losses,(682),(4),(142),(828)
Prior service cost,(12),,(22),(34)
Deferred income taxes,99,1,39,139
,(595),(3),(125),(723)
Total movements in other comprehensive earnings (losses),$ (359),$ (1),$ (64),$ (424)
