"at December 31, 2020 2019","at December 31, 2020 2019"
Assets,Assets
"Cash and cash equivalents $ 7,280$ 6,861","Cash and cash equivalents $ 7,280$ 6,861"
"Trade receivables (less allowances of $23 in 2020 and $20 in 2019) 2,905 3,080","Trade receivables (less allowances of $23 in 2020 and $20 in 2019) 2,905 3,080"
Other receivables (less allowances of $38 in 2020 and $35 in 2019) 856 637,Other receivables (less allowances of $38 in 2020 and $35 in 2019) 856 637
Inventories:,Inventories:
"Leaf tobacco 2,063 2.052","Leaf tobacco 2,063 2.052"
"Other raw materials 1,712 1,596","Other raw materials 1,712 1,596"
"Finished product 5.816 5,587","Finished product 5.816 5,587"
"9,591 9,235","9,591 9,235"
Other current assets 860 701,Other current assets 860 701
Total current assets,"21,492 20,514"
"Property, plant and equipment, at cost:","Property, plant and equipment, at cost:"
Land and land improvements,590 566
Buildings and building equipment,"4,410 4,132"
Machinery and equipment,"9,460 9,354"
Construction in progress,449 394
,"14,909 14,446"
Less: accumulated depreciation,"8.544 7,815"
,"6,365 6,631"
Goodwill (Note 3),"5,964 5,858"
"Other intangible assets, net (Note 3)","2.019 2,113"
"Equity investments (Note 4) 4,798 4,635","Equity investments (Note 4) 4,798 4,635"
Deferred income taxes,"1,410 1,153"
Other assets (less allowances of $22 in 2020 and $15 in 2019),"2,767 1,971"
Total Assets,"$ 44,815$ 42,875"
Liabilities,Liabilities
Short-term borrowings (Note 7) $ 244$338,Short-term borrowings (Note 7) $ 244$338
"Current portion of long-term debt (Note 7) 3,124 4,051","Current portion of long-term debt (Note 7) 3,124 4,051"
"Accounts payable 2,780 2,299","Accounts payable 2,780 2,299"
Accrued liabilities:,Accrued liabilities:
Marketing and selling 782 666,Marketing and selling 782 666
"Taxes, except income taxes 6,403 5,837","Taxes, except income taxes 6,403 5,837"
"Employment costs 1,189 1,042","Employment costs 1,189 1,042"
"Dividends payable 1,880 1,831","Dividends payable 1,880 1,831"
"Other 2,122 1,973","Other 2,122 1,973"
"Income taxes (Note 11) 1,091 796","Income taxes (Note 11) 1,091 796"
"Total current liabilities 19,615 18,833","Total current liabilities 19,615 18,833"
"Long-term debt (Note 7) 28,168 26,656","Long-term debt (Note 7) 28,168 26,656"
Deferred income taxes 684 908,Deferred income taxes 684 908
"Employment costs 4,470 3,634","Employment costs 4,470 3,634"
Income taxes and other liabilities (Note 11),"2,509 2,443"
"Total liabilities 55,446 52,474","Total liabilities 55,446 52,474"
