Name,Office,Age
André Calantzopoulos*,Chief Executive Officer,63
Massimo Andolina,"Senior Vice President, Operations",52
Drago Azinovic,"President, Middle East & Africa Region and PMI Duty Free",58
Emmanuel Babeau,Chief Financial Officer,53
Werner Barth,"Senior Vice President, Commercial",56
Charles Bendotti,"Global Head, People & Culture",48
Frank de Rooij,"Vice President, Treasury and Corporate Finance",55
Frederic de Wilde,"President, European Union Region",53
Suzanne Rich Folsom,Senior Vice President and General Counsel,59
Jorge Insuasty,Chief Life Sciences Officer,62
Stacey Kennedy,"President, South and Southeast Asia Region",48
Martin G. King,"CEO, PMI America",56
Michael Kunst,"Senior Vice President, Commercial Transformation",52
Andreas Kurali,Vice President and Controller,55
Bin Li,Chief Product Officer,49
Marco Mariotti,"President, Eastern Europe Region",56
Mario Masseroli,"President, Latin America and Canada Region",50
Deepak Mishra,Chief Strategy Officer,49
Silke Muenster,Chief Diversity Officer,60
Jacek Olczak*,Chief Operating Officer,56
Paul Riley,"President, East Asia and Australia Region",55
Marian Salzman,"Senior Vice President, Global Communications",61
Gregoire Verdeaux,"Senior Vice President, External Affairs",48
Michael Voegele,Chief Technology Officer,48
Stefano Volpetti,Chief Consumer Officer,49
