2.1,2.1,2.1,2.1,"Distribution Agreement between Altria Group, Inc. and Philip Morris International Inc. dated","Distribution Agreement between Altria Group, Inc. and Philip Morris International Inc. dated",,,,,,,,,
2.1,2.1,2.1,2.1,"January 30, 2008 (incorporated by reference to Exhibit 2.1 to the Registration Statement on Form10 filed February 7, 2008).","January 30, 2008 (incorporated by reference to Exhibit 2.1 to the Registration Statement on Form10 filed February 7, 2008).","January 30, 2008 (incorporated by reference to Exhibit 2.1 to the Registration Statement on Form10 filed February 7, 2008).","January 30, 2008 (incorporated by reference to Exhibit 2.1 to the Registration Statement on Form10 filed February 7, 2008).","January 30, 2008 (incorporated by reference to Exhibit 2.1 to the Registration Statement on Form10 filed February 7, 2008).","January 30, 2008 (incorporated by reference to Exhibit 2.1 to the Registration Statement on Form10 filed February 7, 2008).","January 30, 2008 (incorporated by reference to Exhibit 2.1 to the Registration Statement on Form10 filed February 7, 2008).","January 30, 2008 (incorporated by reference to Exhibit 2.1 to the Registration Statement on Form10 filed February 7, 2008).","January 30, 2008 (incorporated by reference to Exhibit 2.1 to the Registration Statement on Form10 filed February 7, 2008).",,
3.1,3.1,3.1,3.1,Amended and Restated Articles of Incorporation of Philip Morris International Inc. (incorporated,Amended and Restated Articles of Incorporation of Philip Morris International Inc. (incorporated,,,,,,,,,
,,,,"by reference to Exhibit 3.1 to the Registration Statement on Form 10 filed February 7, 2008).","by reference to Exhibit 3.1 to the Registration Statement on Form 10 filed February 7, 2008).",,,,,,,,,
3.2,3.2,3.2,3.2,"Amended and Restated By-Laws of Philip Mors International Inc., effective as of March 5, 2020","Amended and Restated By-Laws of Philip Mors International Inc., effective as of March 5, 2020",,,,,,,,,
,,,,"(incorporated by reference to Exhibit 3.1 to the Current Report on Form 8-K filed March 6, 2020).","(incorporated by reference to Exhibit 3.1 to the Current Report on Form 8-K filed March 6, 2020).",,,,,,,,,
4.1,4.1,4.1,4.1,Specimen Stock Certificate of Philip Morris International Inc. (incorporated by reference to Exhibit,Specimen Stock Certificate of Philip Morris International Inc. (incorporated by reference to Exhibit,,,,,,,,,
,,,,"4.1 to the Registration Statement on Form 10 filed February 7, 2008).","4.1 to the Registration Statement on Form 10 filed February 7, 2008).",,,,,,,,,
4.2,4.2,4.2,4.2,"Indenture dated as of April 25,2008,between Philip Morris International Inc. and HSBC Bank","Indenture dated as of April 25,2008,between Philip Morris International Inc. and HSBC Bank",,,,,,,,,
,,,,"USA,National Association,as Trustee (incorporated by reference to Exhibit 4.3 to the Registration","USA,National Association,as Trustee (incorporated by reference to Exhibit 4.3 to the Registration",,,,,,,,,
,,,,"Statement on Form S-3, dated April 25, 2008).","Statement on Form S-3, dated April 25, 2008).",,,,,,,,,
4.3,4.3,4.3,4.3,Description of Common Stock.Description of Debt Securities.,Description of Common Stock.Description of Debt Securities.,,,,,,,,,
4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,,,,,,
4.6,4.6,4.6,4.6,Description of Common Stock.Description of Debt Securities.,Description of Common Stock.Description of Debt Securities.,The Registrant agrees to furnish copies of any instruments defining the rights of holders of long- term debt of the Registrant and its consolidated subsidiaries that does not exceed 10 percent of the total assets of the Registrant and its consolidated subsidiaries to the Commission upon request.,The Registrant agrees to furnish copies of any instruments defining the rights of holders of long- term debt of the Registrant and its consolidated subsidiaries that does not exceed 10 percent of the total assets of the Registrant and its consolidated subsidiaries to the Commission upon request.,,,,,,,
10.1,10.1,10.1,10.1,"Employee Matters Agreement between Altria Group,Inc. and Philip Morris International Inc.,dated as of March 28, 2008 (incorporated by reference to Exhibit 10.2 to the Current Report onForm 8-K filed March 31,2008).","Employee Matters Agreement between Altria Group,Inc. and Philip Morris International Inc.,dated as of March 28, 2008 (incorporated by reference to Exhibit 10.2 to the Current Report onForm 8-K filed March 31,2008).",,,,,,,,,
10.2,10.2,10.2,10.2,"Employee Matters Agreement between Altria Group,Inc. and Philip Morris International Inc.,dated as of March 28, 2008 (incorporated by reference to Exhibit 10.2 to the Current Report onForm 8-K filed March 31,2008).","Employee Matters Agreement between Altria Group,Inc. and Philip Morris International Inc.,dated as of March 28, 2008 (incorporated by reference to Exhibit 10.2 to the Current Report onForm 8-K filed March 31,2008).",Intellectual Property Agreement between Philip Morrs International Inc. and Philip Morris USA,Intellectual Property Agreement between Philip Morrs International Inc. and Philip Morris USA,,,,,,,
10.2,10.2,10.2,10.2,"Employee Matters Agreement between Altria Group,Inc. and Philip Morris International Inc.,dated as of March 28, 2008 (incorporated by reference to Exhibit 10.2 to the Current Report onForm 8-K filed March 31,2008).","Employee Matters Agreement between Altria Group,Inc. and Philip Morris International Inc.,dated as of March 28, 2008 (incorporated by reference to Exhibit 10.2 to the Current Report onForm 8-K filed March 31,2008).","Inc.,dated as of January1, 2008 (incorporated by reference to Exhibit 10.4 to the RegistrationStatement on Form 10 filed March 5, 2008).","Inc.,dated as of January1, 2008 (incorporated by reference to Exhibit 10.4 to the RegistrationStatement on Form 10 filed March 5, 2008).","Inc.,dated as of January1, 2008 (incorporated by reference to Exhibit 10.4 to the RegistrationStatement on Form 10 filed March 5, 2008).","Inc.,dated as of January1, 2008 (incorporated by reference to Exhibit 10.4 to the RegistrationStatement on Form 10 filed March 5, 2008).","Inc.,dated as of January1, 2008 (incorporated by reference to Exhibit 10.4 to the RegistrationStatement on Form 10 filed March 5, 2008).","Inc.,dated as of January1, 2008 (incorporated by reference to Exhibit 10.4 to the RegistrationStatement on Form 10 filed March 5, 2008).","Inc.,dated as of January1, 2008 (incorporated by reference to Exhibit 10.4 to the RegistrationStatement on Form 10 filed March 5, 2008).","Inc.,dated as of January1, 2008 (incorporated by reference to Exhibit 10.4 to the RegistrationStatement on Form 10 filed March 5, 2008).","Inc.,dated as of January1, 2008 (incorporated by reference to Exhibit 10.4 to the RegistrationStatement on Form 10 filed March 5, 2008)."
