,PMI Stockholders'(Deficit) Equity,PMI Stockholders'(Deficit) Equity,PMI Stockholders'(Deficit) Equity,PMI Stockholders'(Deficit) Equity,PMI Stockholders'(Deficit) Equity,,,
,Common,Additional Paid-in,Earnings Reinvested inthe,Accumulated Other Comprehensive,Cost of Repurchased,Noncontrolling,,
,Stock,Capital,"1,972 $","Business 29,859 $","Losses (8,535) $","Stock (35,382) $",Interests,"Total 1,856$ (10,230)"
"Balances, January 1,2018 Net earnings",$,$,,"7,911",,,375,8.286
"Other comprehensive earnings (losses),",,,,,,,,
net of income taxes,,,,,"(1,572)",,(75),"(1,647)"
Issuance of stock awards Dividends declared ($4.49 per share),,,47,"(6,994)",,81,,"128 (6,994)"
Payments to noncontrolling interests,,,,,,,(435),(435)
Adoption ofnew accounting standards (l) Other (Note 6),,,(80),238,（4,,,238
"Balances, December 31, 2018",,,"1,939","31,014","(10,111)","(35,301)",(1),(85)
Net earnings,,,,"7,185",,,"1,720 543","(10,739) 7,728"
"Other comprehensive earnings (losss),",,,,,,,,
net of income taxes Issuance of stock awards,,,79,,219,81,43,262
Dividends declared ($4.62 per share),,,,"(7,212)",,,,"160 (7,212)"
Payments to noncontrolling interests,,,,,,,(378),(378)
Deconsolidation of RBH (Note 20),,,,,529,,,529
Other,,,,,,,50,51
"Balances, December 31, 2019",,,"2,019","30,987","(9,363)","(35,220)","1,978","(9,599)"
Net earnings,,,,"8,056",,,536,"8,592"
"Other comprehensive earnings (losses), net of income taxes",,,,,"(1,818)",,38,"(1,780)"
Issuance of stock awards,,,69,,,91,,160
Dividends declared ($4.74 per share),,,,"(7,405)",,,,"(7,405)"
Payments to noncontrolling interests,,,,,,,(602),(602)
Other,,,17,,,,(14),3
"Balances,December 31, 2020",$,$,"2,105s","31,638 $","(11,181)","S (35,129)","$ 1,936","$(10,631)"
