,,,,Derivative Liabilities,Derivative Liabilities,Derivative Liabilities,Derivative Liabilities
,,Derivative Assets Fair Value,Derivative Assets Fair Value,Derivative Assets Fair Value,,Fair Value,Fair Value
(in millions),Balance Sheet Classification,2020,2019,,Balance Sheet Classification,2020,2019
Derivative contracts designated as hedging instruments,Other current assets,$,130 $,319,Other accrued liabilities,$ 241,$ 23
,Other assets,,6,21,Income taxes and other liabilities,605,301
Derivative contracts not designated as hedging instruments,Other current assets,,46,50,Other accrued liabilities,207,70
,Other assets,,,,Income taxes and other liabilities,57,
Total gross amount derivatives contracts presented in the,,,,,,,25
consolidated balance sheets Gross amounts not offset in the,,$,182 $,390,,"$ 1,110",$ 419
consolidated balance sheets,,,,,,,
Financial instruments Cash collateral received/pledged,,,(156),(297),,(156),(297)
,,,(23),(91),,(892),(59)
