,,Quoted Prices In Active Markets for Identical Assets/Liabilities,Quoted Prices In Active Markets for Identical Assets/Liabilities,"Significant ""Other Observable Unobservable","Significant ""Other Observable Unobservable"
Asset Category (in millions),"At December 31, 2020",,(Level 1),Inputs (Level 2),Inputs (Level 3)
Cash and cash equivalents,$,324 $,324,,
Equity securities:,,,,,
U.S. securities,,175,175 605,,
International securities,,"605 6,811","5,206 $","1,605",
Investment funds(a) International government bonds,,225,149,76,
Corporate bonds,,292,292,,
,,7,7,,
Other,$,"8,439 $","6,758 $","1,681 $",
Total assets in the fair value hierarchy Investment funds measured at net asset,,,,,
value(b) Total assets,$,"307 8,746",,,
