"(pre-tax, in millions)","Forthe YearsEndedDecember31,","Forthe YearsEndedDecember31,","Forthe YearsEndedDecember31,","Forthe YearsEndedDecember31,","Forthe YearsEndedDecember31,","Forthe YearsEndedDecember31,","Forthe YearsEndedDecember31,","Forthe YearsEndedDecember31,","Forthe YearsEndedDecember31,",,,
,Amount of Gain/ (Loss) Recognized in Other Comprehensive Earnings/(Losses) on,Amount of Gain/ (Loss) Recognized in Other Comprehensive Earnings/(Losses) on,Statement of Earnings Classification of Gain/(Loss),Reclassified from Other Comprehensive Earnings/(Losses) into,Reclassified from Other Comprehensive Earnings/(Losses) into,Reclassified from Other Comprehensive Earnings/(Losses) into,Amount of Gain/(Loss) Recognized in Earnings,,,,,
,2020,Derivatives 2019 2018,Statement of Earnings Classification of Gain/(Loss),on Derivatives,Earnings 2020 2019,,,,,,,
Derivative contracts designated as hedging,,,,,,,Amount of Gain/(Loss) Recognized in Earnings,,,,,
instruments: Cash flow hedges,$ (81)$ (20) $ 28,,,,,,,,,,,
,,,Net revenues,$ (3)$ 22 $ 18,,,,,,,,
,,,Cost of sales,7,,,,,,,,
,,,"Marketing, administration and research costs",,,,,,,,,
,,,,"Interest expense, net",27 (11),2 (8),6,,,,,
Net investment hedges (@),(514)369,,,"9324 Interest expense,net (b)",,,(1),$ 194 $ 230 $ 260,,,,
Derivative contracts not designated as hedging,,,,,,,,,,,,
instruments,,,"Interest expense, net Marketing,",,,,71,94,62,,,
,,,administration and research costs,(c）,,,,(368) (115),378,,,
Total,,$(595) $ 349 $ 352,,,,,,$ 20 $ 17 $ 23 $(103)$ 209 $ 700,,,,
