Stockholders’ (Deficit) Equity,Stockholders’ (Deficit) Equity,Stockholders’ (Deficit) Equity
"Common stock, no par value (2,109,316,331 shares issued in 2020 and 2019)",,
Additional paid-in capital,"2,105 2.019","2,105 2.019"
Earnings reinvested in the business,"31,638","30,987"
Accumulated other comprehensive losses,"(11,181) (9,363)","(11,181) (9,363)"
,"22,562","23,643"
"Less: cost of repurchased stock (551,942,600 and 553,421,668 shares in 2020 and2019, respectively)","35,129","35,220"
Total PMI stockholders'deficit,"(12,567)(11,577)","(12,567)(11,577)"
Noncontrolling interests,"1,936","1,978"
Total stockholders’deficit,"(10,631)","(9,599)"
Total Liabilities and Stockholders' (Deficit) Equity,"$ 44,815","$ 42,875"
