(in millions),Pension^(1),2020,2019,Postretirement,2020,2019
Benefit obligation at January 1,$,10612,$,9152,$,"190,$,209"
Service cost,268,214,2,2,,
Interest cost,68,118,6,7,,
Benefits paid^(2),(356),(333),(7),(8),,
Employee contributions^(2),130,127,--,--,,
Settlement, curtailment and plan amendment,(117),50,--,(42),
Actuarial losses (gains),653,1430,5,27,,
Currency,992,29,3,--,,
Deconsolidation of RBH,--,--,(166),(42),,
Other^(2),(7),(9),(1),(5),,
Benefit obligation at December 31,,$,12243,$,10612,"$,198,$,190"
Fair value of plan assets at January 1,,$,7928,$,6888,
Actual return on plan assets,206,1211,,,,
Employer contributions,102,200,,,,
Employee contributions^(2),130,127,,,,
Benefits paid^(2),(356),(333),,,,
Settlement,(16),--,,,,
Currency,752,7,,,,
Deconsolidation of RBH,--,--,(172),,,
Fair value of plan assets at December 31,,$,8746,$,7928,
Net pension and postretirement liability recognized at December 31,,$,3497,$,2684,"$,198,$,190"
