Combustible products: European Union,"$8,053"
Combustible products: Eastern Europe,"$2,250"
Combustible products: Middle East & Africa,"3,031"
Combustible products: South & Southeast Asia,"4,395"
Combustible products: East Asia & Australia,"2,468"
Combustible products: Latin America & Canada,"1,670"
Total combustible products,"$21,867"
Reduced-risk products: European Union,"$2,649"
Reduced-risk products: Eastern Europe,"1,128"
Reduced-risk products: Middle East & Africa,57
Reduced-risk products: South & Southeast Asia,"1,296"
Reduced-risk products: East Asia & Australia,31
Reduced-risk products: Latin America & Canada,"$6,827"
Total reduced-risk products,"$28,694"
Total PMI net revenues,"$8,093"
