Signature,Title,Date
/s/ ANDRÉ CALANTZOPOULOS,Chief Executive Officer,"February 9, 2021"
(André Calantzopoulos),,
/s/ EMMANUEL BABEAU,Chief Financial Officer,"February 9, 2021"
(Emmanuel Babeau),Vice President and Controller,"February 9, 2021"
/s/ ANDREAS KURALI,Vice President and Controller,"February 9, 2021"
(Andreas Kurali),,
*MICHEL COMBES,Directors,
WERNER GEISSLER,,
LISA A. HOOK,,
JENNIFER LI,,
JUN MAKIHARA,,
KALPANA MORPARIA,,
LUCIO A. NOTO,,
FREDERIK PAULSEN,,
ROBERT B. POLET,,
*By: /s/ ANDRÉ CALANTZOPOULOS,Attorney-in-fact,"February 9, 2021"
(André Calantzopoulos),,
