"At December 31,",2020,2019
Deferred income tax assets:,Accrued postretirement and postemployment benefits,"$,225,$,184"
Deferred income tax assets:,Accrued pension costs,"720,620"
Deferred income tax assets:,Inventory,"232,176"
Deferred income tax assets:,Accrued liabilities,"182,130"
Deferred income tax assets:,Net operating loss carryforwards and tax credits,"351,486"
Deferred income tax assets:,Foreign exchange,"27,—"
Deferred income tax assets:,Other,"124,101"
Deferred income tax assets:,Total deferred income tax assets,"1,861,1,697"
Deferred income tax assets:,Less: valuation allowance,"(250),(304)"
"Deferred income tax assets, net of valuation allowance","1,611","1,393"
Deferred income tax liabilities:,Trade names,"(374),(469)"
Deferred income tax liabilities:,"Property, plant and equipment","(200),(180)"
Deferred income tax liabilities:,Unremitted earnings,"(311),(243)"
Deferred income tax liabilities:,Foreign exchange,"—,(256)"
Deferred income tax liabilities:,Total deferred income tax liabilities,"(885),(1,148)"
Net deferred income tax assets,$,"726,$,245"
