(in millions),2020,2019,2018
Net Revenues,European Union,"$ 10,702","$ 9,817,$ 9,298"
Net Revenues,Eastern Europe,"3,378","3,282,2,921"
Net Revenues,Middle East & Africa,"3,088","4,042,4,114"
Net Revenues,South & Southeast Asia,"4,396","5,094,4,656"
Net Revenues,East Asia & Australia,"5,429","5,364,5,580"
Net Revenues,Latin America & Canada (1),"1,701","2,206,3,056"
Net Revenues,Net revenues,"$ 28,694","$ 29,805,$ 29,625"
Operating Income,European Union,"$ 5,098","$ 3,970,$ 4,105"
Operating Income,Eastern Europe,871,"547,902"
Operating Income,Middle East & Africa,"1,026","1,684,1,627"
Operating Income,South & Southeast Asia,"1,709","2,163,1,747"
Operating Income,East Asia & Australia,"2,400","1,932,1,851"
Operating Income,Latin America & Canada (1),564,"235,1,145"
Operating Income,Operating income,"$ 11,668","$ 10,531,$ 11,377"
