(in millions),"For the Years Ended December 31,","For the Years Ended December 31,","For the Years Ended December 31,"
(in millions),2020,2019,2018
Depreciation expense:,Depreciation expense:,Depreciation expense:,Depreciation expense:
European Union,$ 266$,254$,269
Eastern Europe,173,147,101
Middle East & Africa,,90,105
South & Southeast Asia,75,,154
East Asia & Australia,137,142,
Latin America & Canada,188 58,185 69,173 94
Other,897,887,896
Total depreciation expense,11 $ 908$,11 898$,11 907
Capital expenditures:,,,
European Union $,326$ 466$,813,
Eastern Europe,88,132,
Middle East & Africa,22,136 35 65,
South & Southeast Asia,115,100 129,
East Asia & Australia,,67 215,
Latin America & Canada,13,,
,36,52 74,
Other,600 852,"1,432 4",
,2,,
Total capital expenditures s,602S,"852$ 1,436",
"At December 31,",,,
(in millions),2020 2019 2018,,
Long-lived assets: European Union,$,,
Eastern Europe,,"4,500 $4,275 $4,216 547",
Middle East & Africa,668 375,774,
South & Southeast Asia,"1,348",369 362,
East Asia & Australia,,"1,361 1,297",
Latin America & Canada,807,829 781,
,433,478 779,
Total long-lived assets,"8,131","8,086 7,982",
"Other Total property, plant and equipment, net and Other assets $ 8.602","1,001 9,132 $",516 664,
