(in millions),"At December 31,","At December 31,"
(in millions),2020,2019
Deferred income tax assets:,,
Accrued postretirement and postemployment benefits,$ 225$,184
Accrued pension costs,720,620
Inventory,232,176
Accrued liabilities,182,130
Net operating loss carryforwards and tax credits,351,486
Foreign exchange,27,
Other,124,101
Total deferred income tax assets,"1,861","1,697"
Less: valuation allowance,(250),(304)
"Deferred income tax assets, net of valuation allowance","1,611","1,393"
Deferred income tax liabilities:,,
Trade names,(374),(469)
"Property, plant and equipment",(200),(180)
Unremitted earnings,(311),(243)
Foreign exchange,丨,(256)
Total deferred income tax liabilities,(885),"(1,148)"
Net deferred income tax assets,$ 726$,245
