(in millions),Pension(1),Pension(1),Postretirement,Postretirement
(in millions),2020,2019,2020,2019
Benefit obligation at January 1,"$ 10,612 $","9,152 $",190 $,209
Service cost,268,214,2,2
Interest cost,68,118,6,7
Benefits paid(2),(356),(333),(7),(8)
Employee contributions(2),130,127,,
"Settlement, curtailment and plan amendment",(117),50,,
Actuarial losses (gains),653,"1,430",5,27
Currency,992,29,3,
Deconsolidation of RBH,,(166),,(42)
Other(2),(7),（9),1),(5)
"Benefit obligation at December 31,","12,243","10,612",198,190
"Fair value of plan assets at January 1,","7,928",6.888,,
Actual return on plan assets,206,"1,211",,
Employer contributions,102,200,,
Employee contributions(2),130,127,,
Benefits paid(2),(356),(333),,
Settlement,(16),,,
Currency,752,7,,
Deconsolidation of RBH,丨,(172),,
"Fair value of plan assets at December 31,","8,746",7.928,,
"Net pension and postretirement liability recognized at December 31, $ (3.497) $ (2.684) $","Net pension and postretirement liability recognized at December 31, $ (3.497) $ (2.684) $","Net pension and postretirement liability recognized at December 31, $ (3.497) $ (2.684) $","Net pension and postretirement liability recognized at December 31, $ (3.497) $ (2.684) $","Net pension and postretirement liability recognized at December 31, $ (3.497) $ (2.684) $"
