(in millions),European Union,Eastern Europe,Middle East & Africa,South & Southeast Asia,,Latin,Latin,
(in millions),European Union,Eastern Europe,Middle East & Africa,South & Southeast Asia,,East Asia & Australia,America & Canada,
"Balance at January 1,2019",$,"1,357 $",303 $,87 $,"2,795 $",536 $,"2,111","Total $ 7,189"
Changes due to:,,,,,,,,
Currency,,(19),(3),2,103,15,34,132
Deconsolidation of RBH,,,,,,,"(1,463)","(1,463)"
"Balances, December 31, 2019",,"1,338",300,89,2.898,551,682,"5,858"
Changes due to:,,,,,,,,
Currency,,96,17,(3),17,8,(29),106
"Balances,December 31,2020",$,"1,434 $",317 $,86$,"2,915 $",559 $,653 $,"5,964"
