For the Years Ended December 31, (Unaudited),2020,2019,% Change
Reported Diluted EPS,$ 5.16,$ 4.61,11.9 %,
Adjustments:,,,,
Asset impairment and exit costs,0.08,0.23,,
Canadian tobacco litigation-related expense,-,0.09,,
Loss on deconsolidation of RBH,-,0.12,,
Russia excise and VAT audit charge,-,0.20,,
Brazil indirect tax credit,(-0.05),-,"
Fair value adjustment for equity security investments,0.04,(-0.02),""
Tax items,(-0.06),(-0.04),""
Adjusted Diluted EPS,$ 5.17""","$ 5.19,(-0.4)%"
Less:,,,,
Currency,,-0.32,,
Adjusted Diluted EPS, excluding Currency,$ 5.49,$ 5.19,5.8 %
