PMI Stockholders' (Deficit) Equity,Common Stock,Additional Paid-in Capital,Earnings Reinvested in the Business,Accumulated Other Comprehensive Losses,Cost of Repurchased Stock,Noncontrolling Interests,Total
"Balances, January 1, 2018",$,$,$,$,$,$,"$,$"
"Balances, January 1, 2018",$,"1,972",$,"29,859",$,"(8,535)","$,(35,382),$,1,856,$,(10,230)"
Net earnings,"7,911",$,$,$,$,$,"375,$,8,286"
"Other comprehensive earnings (losses), net of income taxes",$,$,$,"(1,572)",$,(75),"$,(1,647)"
Issuance of stock awards,47,$,$,$,$,81,"$,128"
Dividends declared ($4.49 per share),$,$,$,$,"(6,994)",$,"(6,994)"
Payments to noncontrolling interests,$,$,$,$,$,(435),"$,(435)"
Adoption of new accounting standards (1),$,$,$,238,$,$,"$,238"
Other (Note 6),$,$,$,(80),$,(4),"$,(1),$,(85)"
"Balances, December 31, 2018",$,"1,939",$,"31,014",$,"(10,111)","$,(35,301),$,1,720,$,(10,739)"
Net earnings,"7,185",$,$,$,$,$,"543,$,7,728"
"Other comprehensive earnings (losses), net of income taxes",$,$,$,219,$,$,"43,$,262"
Issuance of stock awards,79,$,$,$,81,$,"$,160"
Dividends declared ($4.62 per share),$,$,$,$,"(7,212)",$,"$,(7,212)"
Payments to noncontrolling interests,$,$,$,$,$,(378),"$,(378)"
Deconsolidation of RBH (Note 20),$,$,$,$,$,529,"$,529"
Other,$,$,$,$,$,$,"50,$,51"
"Balances, December 31, 2019",$,"2,019",$,"30,987",$,"(9,363)","$,(35,220),$,1,978,$,(9,599)"
Net earnings,"8,056",$,$,$,$,$,"536,$,8,592"
"Other comprehensive earnings (losses), net of income taxes",$,$,$,"(1,818)",$,$,"38,$,(1,780)"
Issuance of stock awards,69,$,$,$,91,$,"$,160"
Dividends declared ($4.74 per share),$,$,$,$,"(7,405)",$,"$,(7,405)"
Payments to noncontrolling interests,$,$,$,$,$,(602),"$,(602)"
Other,$,$,$,$,$,$,"(14),$,3"
"Balances, December 31, 2020",$,"2,105",$,"31,638",$,"(11,181)","$,(35,129),$,1,936,$,(10,631)"
