Campaign Landing,Digital Press Site,Evergreen Site,Dark Site
IM AnswerBot,Software Trial,Game,Syndicated & Embeddable Content
Demo,Video,Display - Static,Audio Ad
Display - Animated,Custom Integration,Display - Rich,Roadblock
In-Stream Video,Over the Page Unit,Text Ad,
Click-2-Call / Chat / Email,Contest / Sweepstakes,Podcast / Podcast,RSS
Widget / Gadget / App,Newsletter,Loyalty Rewards Program,Promotional Email
Social Networking,Social Bookmarking,Blog / Microblog,Discussion Forum
Crowdsourcing,Virtual World,Media Sharing,Social Widget
Wiki & Collaboration Software,Live Webcast,Virtual Event,
Mobile App,Location Based Service,SMS / Text,Sponsored Mobile Content
Mobile Code,,SEA,SEO
