Activity,Behavioral Points Earned
Lead 1: Crissy – Active,
Today,"Download a sample RFP,10"
Yesterday,"Watched a demo,12"
5 days ago,"Visited a pricing page,10"
10 days ago,"Visited trade show booth,4"
,36
Lead 2: Jen – Latent,
Last week,"Downloaded a white paper,3"
Last month,"Downloaded a white paper,3"
2 months ago,"Checked link in email,2"
3 months ago,"Checked link in email,2"
3 months ago,"Checked link in email,2"
3 months ago,"Viewed 5 web pages,5"
4 months ago,"Downloaded a white paper,3"
4 months ago,"Registered for a webinar,2"
4 months ago,"Viewed 4 web pages,4"
5 months ago,"Attended a webinar,8"
6 months ago,"Registered for a webinar,2"
,36
