Program Name,Members,New Names,% New Names,Cost per Member,Cost per New Name,% Success (New Names),Program Cost
B2B Marketer Revenue Rock Star Banner,348,173,49.71%,129.31,$260,100.00%,$45000
B2B Marketing Conference,455,392,86.15%,21.98,$26,59.95%,$10000
ClickZ Revenue Masters,330,233,70.61%,24.24,$34,60.09%,$8000
Cloudforce New York,995,777,78.09%,10.05,$13,59.97%,$10000
CMO Council,496,291,58.67%,40.32,$69,60.14%,$20000
CMO World,254,169,66.54%,159.45,$240,59.76%,$40500
Content Marketing Best Practices,800,457,57.13%,8.25,$11,59.96%,$5000
Customer Think Sponsorship,184,153,83.15%,32.61,$39,100.00%,$6000
Demandbase,320,264,82.50%,25.00,$30,59.85%,$8000
DemandGen Conference,0,0,N/A,N/A,N/A,N/A,$8000
Destination CRM,560,175,31.25%,12.50,$40,100.00%,$7000
Dreamforce,1244,256,20.58%,60.29,$293,60.16%,$75000
