Behavior,Scores,Critical: [10-15 points],Important: [5-9 points],Influencing: [1-4 points],Bad Behavior: [negative points]
Visits pricing pages,+10,,,,
Downloads Marketo reviews,+12,,,,
Timeline < 3 months,+15,,,,
Watches demos,+5 overview demo,+10 detailed demo,,"Heavy web activity, +5",
Downloads buyers guides,+8,,,,
Downloads data sheets,+4,,,,
Visits pricing pages,,,,,"Email unsubscribe, -10"
Watches any webinar,+2,,,,"Negative social media comment, -4"
Downloads Marketo reviews,,,,,"Added to \Do Not Call\ list, -5"
Timeline < 3 months,,,,,
Watches demos,,,,,
Downloads buyers guides,+11,,,,
Downloads data sheets,+8,,,,
Visits any web page,+1,,,,
Visits investor page,-2,,,,
