Program Name,Hembers,New Names,% New Narmes,Coit per Member,Cost per New Name,%Sucoese (New Names),Program Cost
28 Marketer Revenue Rock Star anner,348,173,49.71%,129.31,$260,100.00%,"$45,000"
28 arketing Coneence,455,392,86.15%,21.98,$26,59.95%,"$10,000"
Click Revenue Masters,330,233,70.51%,24.24,$34,60.09%,"$8,000"
Cloudrce New York,995,777,78.09%,10.05,$13,59.97%,"$10,000"
CMO Counal,496,291,58.67%,40.32,$69,60.14%,"$20,000"
CHOWorld,254,169,66.54%,159.45,$240,59.76%,"$40,500"
ContentMarketing est Practices,800,457,57.13%,6.25,11,59.96%,"$5,000"
Customer Think Sponsrship,184,153,83.15%,32.61,$39,100.00%,"$6,000"
Demandbase,320,264,82.50%,25.00,$30,59.85%,"$8,000"
DemandGen Conference,0,0,N/A,N/A,N/A,NA,"$8,000"
aion CRM,560,175,31.25%,12.50,$40,100.00%,"7,000"
Dreamforce,1244,256,20.58%,60.29,$293,60.16%,$75.000
