TASK LEADAnalytics Consulting with Marketers,TASK LEADAnalytics Consulting with Marketers,ASSISTANT,OWNERSHIP,
TASK LEADAnalytics Consulting with Marketers,TASK LEADAnalytics Consulting with Marketers,,,
"Online campaign analytics (capabilities,costs,etc)",90%,10%,Lead,
Development of online metricsKPl and scorecards,60%,40%,Lead,
Page and site optimization,75%,25%,Lead,
Unica Implementations,,,,
Requirements gathering from internal stakeholders,90%,10%,Lead,
Transformation ofrequirements into specifications and job request,90%,10%,Lead,
Submission of job to Unica and follow-up(as applicable),90%,10%,Lead,
Unica site or local admin set-up(as applicable),90%,10%,Lead,
Testing of new/edited Profile.Custom Report or other feature,25%,75%,Assistant,
Sign-off of new/edited ProfileCustomReport or other feature,100%,0%,Lead,
Reporting& Analysis,,,,
Adhocreporting by request,25%,75%,Assistant,
Ad hoc analysis,40%,60%,Assistant,
Weekly Homepage Scorecard,10%,90%,Assistant,
Monthly Homepage Scorecard,10%,90%,Assistant,
Quarterly Site Scorecard,10%,90%,Assistant,
Scorecard automation (as applicable),30%,70%,Assistant,
Campaign review(on request),50%,50%,Lead/Assistant,
Sitereview(onrequest),50%,50%,Lead/Assistant,
Unica Training & Support,,,,
Basic Unica training of intemal stakeholders,10%,90%,Assistant,
Advanced Unica/analyticstraining ofintemal stakeholders,60%,40%,Lead,
Provisionof written trainingmaterials(whether sourced orinternally developed),25%,75%,Assistant,
Basic Unica support to end users,40%,60%,Assistant,
Logging of Unica bugs with Unica/ClO Office and follow-up,25%,75%,Assistant,
Program Management&Administration,,,,
Definition and management of services,75%,25%,Lead,
Definition and management of processes,75%,25%,Lead,
Intenal marketing of program,75%,25%,Lead,
Analytics gapanalysisand resolution management,90%,10%,Lead,
Inteal Unica billing support,10%,90%,Assistant,
Unica SR tracking,40%,60%,Assistant,
Budgeting,100%,0%,Lead,
Analytics vendormanagement,90%,0%,Lead,
Lead Training Manual,100%,0%,Lead,
Assistant Training Manual,0%,100%,Assistant,
Miscellaneous,,,,
Special Co-up Tasks/Special Projects,0%,100%,Assistant,
