KPI,Measured by,Definition
Reach ofSite,UniqueVisitors,Numberofuniqueindividualswhovisited yoursiteduring thereportperiod.
Reach ofSite,PageViews,Totalpagesviewedduringthereportperiod.
Discoverabilty,TotalSEOHealthAudit Score,ThisisthekeySearchEngineOptimisation(SEO)scoretodeterminetheoveralldiscoverabilityandhealthofiBM.comonline
"AwarenessandEffectiveness ofPaidEarned,Owned Media",TotalSOnlineMedia,Totalamountofonlinemediainvestedintheperiod.
"AwarenessandEffectiveness ofPaidEarned,Owned Media",Delivered Adlmpressions,Numberofsuccessfultargetedcontactsorexposures foramarketingcampaign.
"AwarenessandEffectiveness ofPaidEarned,Owned Media",Initial Responses,Numberof timesapre-definedinitialorfirstaction is performedbycustomers.
"AwarenessandEffectiveness ofPaidEarned,Owned Media",Cost Per Initial Response,TheactualcostofgeneratingeachInitialResponse.
"AwarenessandEffectiveness ofPaidEarned,Owned Media",End Action Conversion Rate,Numberofendactionsasa%ofInitial Responses performed bycustomers whocompletethedesiredadvertisingfinalaction.
"AwarenessandEffectiveness ofPaidEarned,Owned Media",Cost per End Action,Totalcostofgeneratingeach End Action.
Total Leads Collected,Marketing Prospects(SIPS),StandardlndividualProfileAcustomerprofinstandardthadefinesbaselineatributesrequiredforcontactingindividualsforteorganizationsanddeterminingtherolestheyplaywiththeirorganizations.
EmailSubscribers,Subscribers,Totalnumberofsubscribers
EmailSubscribers,NewSubscribers,Netnumberofnewsubscriberslessun-subscribes
EmailSubscribers,Opt Out Rate,The%ofoptoutduring theperiod
EmailSubscribers,Open Rate,Thenumberofemailsopenedasa%of totalemailssent
EmailSubscribers,Initial Response Rate,Numberoftimesaclickonalinkwithinanemailisperformedasa%ofthetotalemailsopened
Engagement,Engagement Rate,Effectiverateofengagementbetweenthevisitorandcontent onlandingpagesandotherprimarypages
Engagement,Success Events,SuccessEventisapredefinedactionperformedbycustomersthatindicatesengagementwithspecficcontentonthepageCanhepdetermine ROl asnotallcustomers willcompletean End Action on afirst or singlevisit.
Engagement,EndActions,EndActionispredefinedactionpeforedyustomerstatcompletesthedeiedmarketigampignfinalactionsponsemechanismcalltoactionTisistycallemaketingendointSomedosnotilvePllstaneviewingaideo
Customer Satisfaction,VSAT,"VSAT:%ofrespondentsgivingaverysatisfiedratinginresponsetoacustomersatisfactionsurveyOna4-pointscale4wouldbea""very satisfied'score."
Customer Satisfaction,DSAT,"DSAT:%ofrespondentsgivingadisstisfiedratinginresponsetoacustomersatisfactionsurveyOna4-pointscale1and2wouldbea""dissatisfiedscore."
Customer Satisfaction,NSAT,NSAT:Acalculated netsatisfactionscore.NSAT=VSAT-DSAT+100.
Customer Satisfaction,Content Favourabity,Growingindustrytrendtteotourcustoerssatisfactionitspeciicontentandmoremportatltheirintenttosarethepywiththeir peers (a measure of advocacy).
